 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.2464913e+02,  8.4371935e+01,  0.0000000e+00,  1.8387198e+01,  0.0000000e+00,  7.5057000e-01
       1,  5.9739382e+02,  0.0000000e+00,  0.0000000e+00,  1.6968000e-01,  5.4537009e+02,  3.7192866e+01
       2,  1.4043210e+02,  0.0000000e+00,  0.0000000e+00,  1.7396100e-01,  9.4225375e+01,  3.7678348e+01
       3,  1.1753291e+02,  0.0000000e+00,  0.0000000e+00,  1.7913100e-01,  7.5957369e+01,  3.3870074e+01
       4,  1.1482865e+02,  0.0000000e+00,  0.0000000e+00,  1.8668400e-01,  7.2284556e+01,  3.3917517e+01
       5,  1.1336479e+02,  0.0000000e+00,  0.0000000e+00,  1.8653600e-01,  6.9223456e+01,  3.5276361e+01
       6,  1.0854835e+02,  0.0000000e+00,  0.0000000e+00,  1.8651600e-01,  6.3743735e+01,  3.6780286e+01
       7,  1.0777978e+02,  0.0000000e+00,  0.0000000e+00,  1.8653000e-01,  6.4215604e+01,  3.5083451e+01
       8,  1.0830557e+02,  0.0000000e+00,  0.0000000e+00,  1.8640400e-01,  6.5402554e+01,  3.5063835e+01
       9,  1.0877467e+02,  0.0000000e+00,  0.0000000e+00,  1.8666600e-01,  6.3515998e+01,  3.6389031e+01
      10,  1.0805983e+02,  0.0000000e+00,  0.0000000e+00,  1.8667700e-01,  6.2503442e+01,  3.8109293e+01
      11,  1.1003793e+02,  0.0000000e+00,  0.0000000e+00,  1.8671800e-01,  6.2649393e+01,  3.8295779e+01
      12,  1.0832926e+02,  0.0000000e+00,  0.0000000e+00,  1.8660100e-01,  6.3044668e+01,  3.6860508e+01
      13,  1.0835122e+02,  0.0000000e+00,  0.0000000e+00,  1.8648800e-01,  6.2585577e+01,  3.8014913e+01
      14,  1.0984213e+02,  0.0000000e+00,  0.0000000e+00,  1.8752200e-01,  6.4500490e+01,  3.6241924e+01
      15,  1.0708491e+02,  0.0000000e+00,  0.0000000e+00,  1.8660900e-01,  6.0554339e+01,  3.7954268e+01
      16,  1.0802684e+02,  0.0000000e+00,  0.0000000e+00,  1.8665700e-01,  6.1308207e+01,  3.7773148e+01
      17,  1.0762497e+02,  0.0000000e+00,  0.0000000e+00,  1.8741200e-01,  6.0973293e+01,  3.7803877e+01
      18,  1.0693203e+02,  0.0000000e+00,  0.0000000e+00,  1.8751800e-01,  5.9832908e+01,  3.8292697e+01
      19,  1.0543611e+02,  0.0000000e+00,  0.0000000e+00,  1.8750100e-01,  5.9823440e+01,  3.6619085e+01
      20,  1.0574191e+02,  0.0000000e+00,  0.0000000e+00,  1.8741400e-01,  5.9681218e+01,  3.7622643e+01
      21,  1.0626019e+02,  0.0000000e+00,  0.0000000e+00,  1.8751900e-01,  5.9473252e+01,  3.9054660e+01
      22,  1.0891078e+02,  0.0000000e+00,  0.0000000e+00,  1.8760500e-01,  6.2179735e+01,  3.8111386e+01
      23,  1.0662384e+02,  0.0000000e+00,  0.0000000e+00,  1.8758500e-01,  5.9642308e+01,  3.8847416e+01
      24,  1.1027275e+02,  0.0000000e+00,  0.0000000e+00,  1.8764700e-01,  6.0223490e+01,  4.1281678e+01
      25,  1.0792694e+02,  0.0000000e+00,  0.0000000e+00,  1.8751600e-01,  6.0433580e+01,  3.8346979e+01
      26,  1.0824085e+02,  0.0000000e+00,  0.0000000e+00,  1.8765400e-01,  6.1164539e+01,  3.9275962e+01
      27,  1.0803601e+02,  0.0000000e+00,  0.0000000e+00,  1.8761500e-01,  5.9087630e+01,  4.0241745e+01
      28,  1.0810998e+02,  0.0000000e+00,  0.0000000e+00,  1.8763200e-01,  5.9790934e+01,  4.0171676e+01
      29,  1.0995156e+02,  0.0000000e+00,  0.0000000e+00,  1.8747300e-01,  6.1014824e+01,  4.0487957e+01
      30,  1.0696735e+02,  0.0000000e+00,  0.0000000e+00,  1.8775500e-01,  5.8869188e+01,  3.9617771e+01
      31,  1.0932761e+02,  0.0000000e+00,  0.0000000e+00,  1.8756200e-01,  5.9385557e+01,  4.1131827e+01
      32,  1.0916465e+02,  0.0000000e+00,  0.0000000e+00,  1.8741800e-01,  6.0371631e+01,  4.0369410e+01
      33,  1.0838431e+02,  0.0000000e+00,  0.0000000e+00,  1.8765600e-01,  5.9103205e+01,  4.0702473e+01
      34,  1.0905407e+02,  0.0000000e+00,  0.0000000e+00,  1.8755300e-01,  6.1075311e+01,  3.9122833e+01
      35,  1.0880579e+02,  0.0000000e+00,  0.0000000e+00,  1.8818900e-01,  5.7291517e+01,  4.2768535e+01
      36,  1.1207417e+02,  0.0000000e+00,  0.0000000e+00,  1.8766400e-01,  6.0867840e+01,  4.2839219e+01
      37,  1.1187940e+02,  0.0000000e+00,  0.0000000e+00,  1.8793600e-01,  6.1645093e+01,  4.2418911e+01
      38,  1.1232589e+02,  0.0000000e+00,  0.0000000e+00,  1.9052000e-01,  6.1103130e+01,  4.3093003e+01
      39,  1.1116607e+02,  0.0000000e+00,  0.0000000e+00,  1.8800000e-01,  6.0183030e+01,  4.2834674e+01
      40,  1.1261225e+02,  0.0000000e+00,  0.0000000e+00,  1.8821300e-01,  6.0653599e+01,  4.2818090e+01
      41,  1.0930244e+02,  0.0000000e+00,  0.0000000e+00,  1.8810200e-01,  5.8557399e+01,  4.2193673e+01
      42,  1.1272874e+02,  0.0000000e+00,  0.0000000e+00,  1.8810400e-01,  6.1159741e+01,  4.2639165e+01
      43,  1.1037247e+02,  0.0000000e+00,  0.0000000e+00,  1.8811600e-01,  5.9761857e+01,  4.1890253e+01
      44,  1.1185544e+02,  0.0000000e+00,  0.0000000e+00,  1.8814000e-01,  6.0867443e+01,  4.2634698e+01
      45,  1.1179083e+02,  0.0000000e+00,  0.0000000e+00,  1.8797400e-01,  6.0769835e+01,  4.3517578e+01
      46,  1.1209930e+02,  0.0000000e+00,  0.0000000e+00,  1.8827200e-01,  6.1602969e+01,  4.2209841e+01
      47,  1.1415798e+02,  0.0000000e+00,  0.0000000e+00,  1.8814000e-01,  6.3093049e+01,  4.2375587e+01
      48,  1.1137998e+02,  0.0000000e+00,  0.0000000e+00,  1.8829100e-01,  5.9798897e+01,  4.3191776e+01
      49,  1.0730780e+02,  0.0000000e+00,  0.0000000e+00,  1.8885900e-01,  5.7171878e+01,  4.1235820e+01
      50,  1.1103661e+02,  0.0000000e+00,  0.0000000e+00,  1.8810100e-01,  5.9722834e+01,  4.2665417e+01
      51,  1.1521011e+02,  0.0000000e+00,  0.0000000e+00,  1.8859400e-01,  6.3699539e+01,  4.2834517e+01
      52,  1.1676388e+02,  0.0000000e+00,  0.0000000e+00,  1.8857400e-01,  6.5155043e+01,  4.3310844e+01
      53,  1.1944955e+02,  0.0000000e+00,  0.0000000e+00,  1.8853100e-01,  6.6914029e+01,  4.4800921e+01
      54,  1.6093351e+02,  0.0000000e+00,  2.4094044e+01,  1.9579804e+01,  6.6475354e+01,  4.2462451e+01
