t, velocity, pressure, k, omega, wall_distance
 1.0000000e-04,  2.3990157e+02,  1.0000000e+04,  9.2800037e+03,  9.9999305e+03,  1.0000000e+04
 2.0000000e-04,  2.6369378e+01,  6.6912453e+05,  6.6763731e+04,  8.6014095e+03,  0.0000000e+00
 3.0000000e-04,  1.5460091e+01,  3.0096477e+04,  3.5724075e+04,  7.6777170e+03,  0.0000000e+00
 4.0000000e-04,  1.2168934e+01,  3.4138202e+03,  1.9304324e+04,  6.5158430e+03,  0.0000000e+00
 5.0000000e-04,  9.9302771e+00,  9.5861022e+02,  9.0995013e+03,  5.3094863e+03,  0.0000000e+00
 6.0000000e-04,  8.9677025e+00,  5.2723160e+02,  3.9658966e+03,  4.2504972e+03,  0.0000000e+00
 7.0000000e-04,  8.7039201e+00,  4.1944967e+02,  2.5042822e+03,  3.4153195e+03,  0.0000000e+00
 8.0000000e-04,  8.4643775e+00,  3.7166360e+02,  2.0424780e+03,  2.7875238e+03,  0.0000000e+00
 9.0000000e-04,  8.2072901e+00,  3.4996791e+02,  1.7645858e+03,  2.3197275e+03,  0.0000000e+00
 1.0000000e-03,  7.9363595e+00,  3.3956228e+02,  1.5510736e+03,  1.9674638e+03,  0.0000000e+00
 1.1000000e-03,  7.6645637e+00,  3.3440729e+02,  1.3790338e+03,  1.6973514e+03,  0.0000000e+00
 1.2000000e-03,  7.4027260e+00,  3.3335451e+02,  1.2295789e+03,  1.4859636e+03,  0.0000000e+00
 1.3000000e-03,  7.1523628e+00,  3.2202216e+02,  1.1045956e+03,  1.3171975e+03,  0.0000000e+00
 1.4000000e-03,  6.9200430e+00,  3.0635999e+02,  1.0001352e+03,  1.1800689e+03,  0.0000000e+00
 1.5000000e-03,  6.7051581e+00,  2.8688772e+02,  9.1263579e+02,  1.0668816e+03,  0.0000000e+00
 1.6000000e-03,  6.5022846e+00,  2.7368858e+02,  8.3755318e+02,  9.7208766e+02,  0.0000000e+00
 1.7000000e-03,  6.3075047e+00,  2.5301525e+02,  7.7182263e+02,  8.9162785e+02,  0.0000000e+00
 1.8000000e-03,  6.1214807e+00,  2.3981307e+02,  7.1550231e+02,  8.2256763e+02,  0.0000000e+00
 1.9000000e-03,  5.9539841e+00,  2.2864374e+02,  6.6745538e+02,  7.6277255e+02,  0.0000000e+00
 2.0000000e-03,  5.8058484e+00,  2.1703097e+02,  6.2583010e+02,  7.1055457e+02,  0.0000000e+00
 2.1000000e-03,  5.6888801e+00,  2.0675075e+02,  5.8848177e+02,  6.6448764e+02,  0.0000000e+00
 2.2000000e-03,  5.6156985e+00,  1.9734765e+02,  5.5546130e+02,  6.2351762e+02,  0.0000000e+00
 2.3000000e-03,  5.6201295e+00,  1.8926583e+02,  5.2672404e+02,  5.8693006e+02,  0.0000000e+00
 2.4000000e-03,  5.8052176e+00,  1.8306073e+02,  5.0627495e+02,  5.5424032e+02,  0.0000000e+00
