 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  4.4569076e+01,  3.9861976e+01,  0.0000000e+00,  2.0449610e+00,  0.0000000e+00,  0.0000000e+00
       1,  9.4758040e+01,  0.0000000e+00,  0.0000000e+00,  1.6851600e-01,  8.3393555e+01,  6.2536490e+00
       2,  2.4897545e+01,  0.0000000e+00,  0.0000000e+00,  1.5372900e-01,  1.1715522e+01,  7.0380790e+00
       3,  2.1414079e+01,  0.0000000e+00,  0.0000000e+00,  1.5357000e-01,  8.1638350e+00,  7.1224560e+00
       4,  2.0681011e+01,  0.0000000e+00,  0.0000000e+00,  1.5300100e-01,  6.9228520e+00,  7.6444900e+00
       5,  1.9996074e+01,  0.0000000e+00,  0.0000000e+00,  1.5323600e-01,  6.1984130e+00,  7.6658860e+00
       6,  1.9597231e+01,  0.0000000e+00,  0.0000000e+00,  1.5345800e-01,  5.8453020e+00,  7.6411890e+00
       7,  1.9535333e+01,  0.0000000e+00,  0.0000000e+00,  1.5321900e-01,  5.7961830e+00,  7.6286850e+00
       8,  1.9436077e+01,  0.0000000e+00,  0.0000000e+00,  1.5293900e-01,  5.6930010e+00,  7.6312100e+00
       9,  1.9533863e+01,  0.0000000e+00,  0.0000000e+00,  1.5300800e-01,  5.7839940e+00,  7.6236400e+00
      10,  1.9402524e+01,  0.0000000e+00,  0.0000000e+00,  1.5305700e-01,  5.6837890e+00,  7.6166110e+00
      11,  1.9368192e+01,  0.0000000e+00,  0.0000000e+00,  1.5313000e-01,  5.6654380e+00,  7.6073350e+00
      12,  1.9198609e+01,  0.0000000e+00,  0.0000000e+00,  1.5425400e-01,  5.5036890e+00,  7.5966620e+00
      13,  1.9151197e+01,  0.0000000e+00,  0.0000000e+00,  1.5307000e-01,  5.4878960e+00,  7.5674180e+00
      14,  1.9052221e+01,  0.0000000e+00,  0.0000000e+00,  1.5305200e-01,  5.3926720e+00,  7.5662970e+00
      15,  1.8835490e+01,  0.0000000e+00,  0.0000000e+00,  1.5286100e-01,  5.3820220e+00,  7.3601970e+00
      16,  1.8429282e+01,  0.0000000e+00,  0.0000000e+00,  1.5297900e-01,  5.1926840e+00,  7.1526460e+00
      17,  1.8354526e+01,  0.0000000e+00,  0.0000000e+00,  1.5310800e-01,  5.1213590e+00,  7.1551600e+00
      18,  1.8345099e+01,  0.0000000e+00,  0.0000000e+00,  1.5294800e-01,  5.1142290e+00,  7.1583630e+00
      19,  1.8327340e+01,  0.0000000e+00,  0.0000000e+00,  1.5275800e-01,  5.1099360e+00,  7.1537070e+00
      20,  1.8329554e+01,  0.0000000e+00,  0.0000000e+00,  1.5314100e-01,  5.1058750e+00,  7.1538440e+00
      21,  1.8328033e+01,  0.0000000e+00,  0.0000000e+00,  1.5306300e-01,  5.1027810e+00,  7.1607640e+00
      22,  1.8211603e+01,  0.0000000e+00,  0.0000000e+00,  1.5319400e-01,  4.9983730e+00,  7.1534550e+00
      23,  1.8201072e+01,  0.0000000e+00,  0.0000000e+00,  1.5309400e-01,  4.9928470e+00,  7.1511870e+00
      24,  1.8108635e+01,  0.0000000e+00,  0.0000000e+00,  1.5295900e-01,  4.9075170e+00,  7.1513970e+00
      25,  1.8108260e+01,  0.0000000e+00,  0.0000000e+00,  1.5319200e-01,  4.8937940e+00,  7.1548330e+00
      26,  1.8099252e+01,  0.0000000e+00,  0.0000000e+00,  1.5311300e-01,  4.8916320e+00,  7.1532780e+00
      27,  1.8022575e+01,  0.0000000e+00,  0.0000000e+00,  1.5315100e-01,  4.8171850e+00,  7.1522950e+00
      28,  1.8030762e+01,  0.0000000e+00,  0.0000000e+00,  1.5301100e-01,  4.8188330e+00,  7.1532630e+00
      29,  1.8024765e+01,  0.0000000e+00,  0.0000000e+00,  1.5302600e-01,  4.8225230e+00,  7.1531500e+00
      30,  1.8049026e+01,  0.0000000e+00,  0.0000000e+00,  1.5328100e-01,  4.8245940e+00,  7.1551640e+00
      31,  1.8029734e+01,  0.0000000e+00,  0.0000000e+00,  1.5330400e-01,  4.7943900e+00,  7.1596280e+00
      32,  1.7925491e+01,  0.0000000e+00,  0.0000000e+00,  1.5329900e-01,  4.6955510e+00,  7.1549730e+00
      33,  1.7919627e+01,  0.0000000e+00,  0.0000000e+00,  1.5334800e-01,  4.6928130e+00,  7.1573440e+00
      34,  1.7925744e+01,  0.0000000e+00,  0.0000000e+00,  1.5452500e-01,  4.6936770e+00,  7.1585900e+00
      35,  1.7933766e+01,  0.0000000e+00,  0.0000000e+00,  1.5344400e-01,  4.7020820e+00,  7.1559710e+00
      36,  1.8121142e+01,  0.0000000e+00,  0.0000000e+00,  1.5407500e-01,  4.6872390e+00,  7.3600130e+00
      37,  1.8325605e+01,  0.0000000e+00,  0.0000000e+00,  1.5331800e-01,  4.6896870e+00,  7.5663130e+00
      38,  1.8334213e+01,  0.0000000e+00,  0.0000000e+00,  1.5317700e-01,  4.6996110e+00,  7.5658110e+00
      39,  1.8220375e+01,  0.0000000e+00,  0.0000000e+00,  1.5330100e-01,  4.5900160e+00,  7.5647250e+00
      40,  1.8089158e+01,  0.0000000e+00,  0.0000000e+00,  1.5588300e-01,  4.4613440e+00,  7.5618600e+00
      41,  1.8105833e+01,  0.0000000e+00,  0.0000000e+00,  1.5330100e-01,  4.4821630e+00,  7.5616770e+00
      42,  1.8090773e+01,  0.0000000e+00,  0.0000000e+00,  1.5326800e-01,  4.4659670e+00,  7.5643240e+00
      43,  1.8082058e+01,  0.0000000e+00,  0.0000000e+00,  1.5331900e-01,  4.4568420e+00,  7.5656210e+00
      44,  1.8092802e+01,  0.0000000e+00,  0.0000000e+00,  1.5328700e-01,  4.4584750e+00,  7.5734120e+00
      45,  1.8081770e+01,  0.0000000e+00,  0.0000000e+00,  1.5340100e-01,  4.4598340e+00,  7.5624540e+00
      46,  1.8091057e+01,  0.0000000e+00,  0.0000000e+00,  1.5330100e-01,  4.4624090e+00,  7.5627570e+00
      47,  1.8089269e+01,  0.0000000e+00,  0.0000000e+00,  1.5331000e-01,  4.4657740e+00,  7.5640160e+00
      48,  1.7948091e+01,  0.0000000e+00,  0.0000000e+00,  1.5461200e-01,  4.3215630e+00,  7.5652050e+00
      49,  1.7933385e+01,  0.0000000e+00,  0.0000000e+00,  1.5335000e-01,  4.3073450e+00,  7.5618620e+00
      50,  1.7856413e+01,  0.0000000e+00,  0.0000000e+00,  1.5327500e-01,  4.2336310e+00,  7.5620060e+00
      51,  1.7871354e+01,  0.0000000e+00,  0.0000000e+00,  1.5325800e-01,  4.2501260e+00,  7.5605430e+00
      52,  1.7901076e+01,  0.0000000e+00,  0.0000000e+00,  1.5413200e-01,  4.2482900e+00,  7.5803100e+00
      53,  1.7916625e+01,  0.0000000e+00,  0.0000000e+00,  1.6382400e-01,  4.2443070e+00,  7.5752300e+00
      54,  1.7708601e+01,  0.0000000e+00,  0.0000000e+00,  1.5417000e-01,  4.2475420e+00,  7.3753380e+00
      55,  1.7705214e+01,  0.0000000e+00,  0.0000000e+00,  1.5420900e-01,  4.2526000e+00,  7.3658560e+00
      56,  1.7702339e+01,  0.0000000e+00,  0.0000000e+00,  1.5414000e-01,  4.2462360e+00,  7.3655550e+00
      57,  1.7702331e+01,  0.0000000e+00,  0.0000000e+00,  1.5427700e-01,  4.2469740e+00,  7.3677700e+00
      58,  1.7580002e+01,  0.0000000e+00,  0.0000000e+00,  1.5420300e-01,  4.1198790e+00,  7.3662440e+00
      59,  1.7582163e+01,  0.0000000e+00,  0.0000000e+00,  1.5413000e-01,  4.1193710e+00,  7.3661460e+00
      60,  1.7577857e+01,  0.0000000e+00,  0.0000000e+00,  1.5412600e-01,  4.1205120e+00,  7.3690190e+00
      61,  1.7481761e+01,  0.0000000e+00,  0.0000000e+00,  1.5412800e-01,  4.0232780e+00,  7.3706950e+00
      62,  1.7474781e+01,  0.0000000e+00,  0.0000000e+00,  1.5413700e-01,  4.0228290e+00,  7.3658190e+00
      63,  1.7474876e+01,  0.0000000e+00,  0.0000000e+00,  1.5417500e-01,  4.0235870e+00,  7.3654330e+00
      64,  1.7480872e+01,  0.0000000e+00,  0.0000000e+00,  1.5421000e-01,  4.0248580e+00,  7.3691440e+00
      65,  1.7478827e+01,  0.0000000e+00,  0.0000000e+00,  1.5415900e-01,  4.0226840e+00,  7.3656970e+00
      66,  1.7481115e+01,  0.0000000e+00,  0.0000000e+00,  1.5411000e-01,  4.0274120e+00,  7.3647370e+00
      67,  1.7483377e+01,  0.0000000e+00,  0.0000000e+00,  1.5410200e-01,  4.0229630e+00,  7.3679240e+00
