t, velocity, pressure, k, omega, wall_distance
 4.0000000e-04,  2.6165765e+01,  2.5000000e+03,  2.3200001e+03,  2.4999921e+03,  2.5000000e+03
 8.0000000e-04,  1.5303325e+00,  3.2691787e+05,  5.0579448e+03,  1.6266504e+03,  0.0000000e+00
 1.2000000e-03,  4.6057900e-01,  1.4404097e+04,  3.0641504e+03,  1.3253305e+03,  0.0000000e+00
 1.6000000e-03,  3.3263169e-01,  1.6112351e+03,  2.0021323e+03,  1.0609648e+03,  0.0000000e+00
 2.0000000e-03,  2.7065866e-01,  1.6351597e+02,  1.4048765e+03,  8.5258819e+02,  0.0000000e+00
 2.4000000e-03,  2.6025910e-01,  5.8151339e+01,  1.0466019e+03,  6.9609015e+02,  0.0000000e+00
 2.8000000e-03,  2.5445226e-01,  4.6461393e+01,  8.1742488e+02,  5.7960013e+02,  0.0000000e+00
 3.2000000e-03,  2.4884346e-01,  4.5767655e+01,  6.6213825e+02,  4.9194182e+02,  0.0000000e+00
 3.6000000e-03,  2.4401456e-01,  4.3932756e+01,  5.5162589e+02,  4.2475273e+02,  0.0000000e+00
 4.0000000e-03,  2.3928352e-01,  4.3083104e+01,  4.6968046e+02,  3.7220004e+02,  0.0000000e+00
 4.4000000e-03,  2.3584422e-01,  4.0232434e+01,  4.0679897e+02,  3.3028435e+02,  0.0000000e+00
 4.8000000e-03,  2.3261378e-01,  3.7617833e+01,  3.5713729e+02,  2.9624920e+02,  0.0000000e+00
 5.2000000e-03,  2.2924410e-01,  3.5524437e+01,  3.1695686e+02,  2.6816688e+02,  0.0000000e+00
 5.6000000e-03,  2.2569537e-01,  3.3824360e+01,  2.8378096e+02,  2.4466486e+02,  0.0000000e+00
 6.0000000e-03,  2.2253685e-01,  3.2533716e+01,  2.5592096e+02,  2.2474740e+02,  0.0000000e+00
 6.4000000e-03,  2.1936262e-01,  3.1482421e+01,  2.3219928e+02,  2.0767897e+02,  0.0000000e+00
 6.8000000e-03,  2.1611045e-01,  3.0444252e+01,  2.1177906e+02,  1.9290680e+02,  0.0000000e+00
 7.2000000e-03,  2.1290782e-01,  2.9581524e+01,  1.9405478e+02,  1.8000890e+02,  0.0000000e+00
 7.6000000e-03,  2.0981670e-01,  2.8766600e+01,  1.7858082e+02,  1.6865839e+02,  0.0000000e+00
 8.0000000e-03,  2.0671451e-01,  2.7926365e+01,  1.6501255e+02,  1.5859863e+02,  0.0000000e+00
 8.4000000e-03,  2.0366032e-01,  2.7266873e+01,  1.5307112e+02,  1.4962568e+02,  0.0000000e+00
 8.8000000e-03,  2.0069499e-01,  2.6712861e+01,  1.4254498e+02,  1.4157568e+02,  0.0000000e+00
 9.2000000e-03,  1.9787602e-01,  2.6336340e+01,  1.3325035e+02,  1.3431556e+02,  0.0000000e+00
 9.6000000e-03,  1.9517921e-01,  2.6015637e+01,  1.2502957e+02,  1.2773629e+02,  0.0000000e+00
 1.0000000e-02,  1.9260026e-01,  2.5724974e+01,  1.1774491e+02,  1.2174773e+02,  0.0000000e+00
 1.0400000e-02,  1.9015454e-01,  2.5379675e+01,  1.1127577e+02,  1.1627476e+02,  0.0000000e+00
 1.0800000e-02,  1.8780076e-01,  2.4994586e+01,  1.0551501e+02,  1.1125432e+02,  0.0000000e+00
 1.1200000e-02,  1.8545987e-01,  2.4641562e+01,  1.0036865e+02,  1.0663306e+02,  0.0000000e+00
 1.1600000e-02,  1.8332855e-01,  2.4233096e+01,  9.5752760e+01,  1.0236566e+02,  0.0000000e+00
 1.2000000e-02,  1.8133207e-01,  2.3843201e+01,  9.1596174e+01,  9.8413295e+01,  0.0000000e+00
 1.2400000e-02,  1.7941076e-01,  2.3446067e+01,  8.7836404e+01,  9.4742543e+01,  0.0000000e+00
 1.2800000e-02,  1.7754897e-01,  2.3081116e+01,  8.4419984e+01,  9.1324524e+01,  0.0000000e+00
 1.3200000e-02,  1.7570389e-01,  2.2665747e+01,  8.1300264e+01,  8.8134135e+01,  0.0000000e+00
 1.3600000e-02,  1.7389008e-01,  2.2269991e+01,  7.8424952e+01,  8.5149477e+01,  0.0000000e+00
 1.4000000e-02,  1.7211105e-01,  2.1898702e+01,  7.5761317e+01,  8.2351310e+01,  0.0000000e+00
 1.4400000e-02,  1.7038285e-01,  2.1508190e+01,  7.3280456e+01,  7.9722751e+01,  0.0000000e+00
 1.4800000e-02,  1.6866740e-01,  2.1134112e+01,  7.0967354e+01,  7.7248892e+01,  0.0000000e+00
 1.5200000e-02,  1.6699504e-01,  2.0763977e+01,  6.8806776e+01,  7.4916484e+01,  0.0000000e+00
 1.5600000e-02,  1.6534270e-01,  2.0412777e+01,  6.6783430e+01,  7.2713705e+01,  0.0000000e+00
 1.6000000e-02,  1.6369857e-01,  2.0078733e+01,  6.4883257e+01,  7.0630038e+01,  0.0000000e+00
 1.6400000e-02,  1.6205344e-01,  1.9783094e+01,  6.3095076e+01,  6.8656078e+01,  0.0000000e+00
 1.6800000e-02,  1.6042125e-01,  1.9490117e+01,  6.1409150e+01,  6.6783337e+01,  0.0000000e+00
 1.7200000e-02,  1.5881701e-01,  1.9191642e+01,  5.9815974e+01,  6.5004207e+01,  0.0000000e+00
 1.7600000e-02,  1.5723808e-01,  1.8911145e+01,  5.8306754e+01,  6.3311792e+01,  0.0000000e+00
 1.8000000e-02,  1.5569774e-01,  1.8652500e+01,  5.6873733e+01,  6.1699882e+01,  0.0000000e+00
 1.8400000e-02,  1.5418307e-01,  1.8392536e+01,  5.5510464e+01,  6.0162829e+01,  0.0000000e+00
 1.8800000e-02,  1.5268744e-01,  1.8160984e+01,  5.4211133e+01,  5.8695502e+01,  0.0000000e+00
 1.9200000e-02,  1.5121506e-01,  1.7864202e+01,  5.2970921e+01,  5.7293220e+01,  0.0000000e+00
 1.9600000e-02,  1.4977187e-01,  1.7591468e+01,  5.1785636e+01,  5.5951721e+01,  0.0000000e+00
 2.0000000e-02,  1.4835932e-01,  1.7369300e+01,  5.0651794e+01,  5.4667102e+01,  0.0000000e+00
 2.0400000e-02,  1.4698373e-01,  1.7182595e+01,  4.9566191e+01,  5.3435795e+01,  0.0000000e+00
 2.0800000e-02,  1.4564943e-01,  1.6890020e+01,  4.8525496e+01,  5.2254524e+01,  0.0000000e+00
 2.1200000e-02,  1.4435674e-01,  1.6701391e+01,  4.7525990e+01,  5.1120279e+01,  0.0000000e+00
 2.1600000e-02,  1.4310541e-01,  1.6484016e+01,  4.6565673e+01,  5.0030283e+01,  0.0000000e+00
 2.2000000e-02,  1.4188489e-01,  1.6325963e+01,  4.5642602e+01,  4.8981974e+01,  0.0000000e+00
 2.2400000e-02,  1.4069335e-01,  1.6138492e+01,  4.4754697e+01,  4.7972988e+01,  0.0000000e+00
 2.2800000e-02,  1.3953225e-01,  1.5961562e+01,  4.3900006e+01,  4.7001133e+01,  0.0000000e+00
 2.3200000e-02,  1.3840000e-01,  1.5768223e+01,  4.3075905e+01,  4.6064370e+01,  0.0000000e+00
 2.3600000e-02,  1.3728878e-01,  1.5604339e+01,  4.2278982e+01,  4.5160812e+01,  0.0000000e+00
 2.4000000e-02,  1.3621171e-01,  1.5472124e+01,  4.1508306e+01,  4.4288699e+01,  0.0000000e+00
 2.4400000e-02,  1.3517906e-01,  1.5250142e+01,  4.0764296e+01,  4.3446396e+01,  0.0000000e+00
 2.4800000e-02,  1.3418594e-01,  1.5107837e+01,  4.0046029e+01,  4.2632382e+01,  0.0000000e+00
 2.5200000e-02,  1.3322466e-01,  1.4909710e+01,  3.9352161e+01,  4.1845232e+01,  0.0000000e+00
 2.5600000e-02,  1.3229534e-01,  1.4757969e+01,  3.8681354e+01,  4.1083619e+01,  0.0000000e+00
 2.6000000e-02,  1.3139774e-01,  1.4582760e+01,  3.8032364e+01,  4.0346288e+01,  0.0000000e+00
 2.6400000e-02,  1.3052628e-01,  1.4439931e+01,  3.7404080e+01,  3.9632086e+01,  0.0000000e+00
 2.6800000e-02,  1.2967605e-01,  1.4257716e+01,  3.6795483e+01,  3.8939918e+01,  0.0000000e+00
 2.7200000e-02,  1.2884311e-01,  1.4130787e+01,  3.6205513e+01,  3.8268766e+01,  0.0000000e+00
 2.7600000e-02,  1.2802316e-01,  1.3938049e+01,  3.5633154e+01,  3.7617667e+01,  0.0000000e+00
 2.8000000e-02,  1.2721575e-01,  1.3818745e+01,  3.5077616e+01,  3.6985716e+01,  0.0000000e+00
 2.8400000e-02,  1.2641921e-01,  1.3648569e+01,  3.4538212e+01,  3.6372093e+01,  0.0000000e+00
 2.8800000e-02,  1.2563688e-01,  1.3527443e+01,  3.4014350e+01,  3.5775977e+01,  0.0000000e+00
 2.9200000e-02,  1.2487754e-01,  1.3391814e+01,  3.3505450e+01,  3.5196658e+01,  0.0000000e+00
 2.9600000e-02,  1.2413757e-01,  1.3257998e+01,  3.3010932e+01,  3.4633361e+01,  0.0000000e+00
 3.0000000e-02,  1.2341204e-01,  1.3136122e+01,  3.2530190e+01,  3.4085472e+01,  0.0000000e+00
 3.0400000e-02,  1.2269537e-01,  1.2986536e+01,  3.2062702e+01,  3.3552351e+01,  0.0000000e+00
 3.0800000e-02,  1.2199002e-01,  1.2885265e+01,  3.1607988e+01,  3.3033372e+01,  0.0000000e+00
 3.1200000e-02,  1.2129515e-01,  1.2726501e+01,  3.1165632e+01,  3.2528027e+01,  0.0000000e+00
 3.1600000e-02,  1.2060848e-01,  1.2619737e+01,  3.0735267e+01,  3.2035705e+01,  0.0000000e+00
 3.2000000e-02,  1.1992739e-01,  1.2495277e+01,  3.0316432e+01,  3.1555977e+01,  0.0000000e+00
 3.2400000e-02,  1.1925214e-01,  1.2386197e+01,  2.9908691e+01,  3.1088331e+01,  0.0000000e+00
 3.2800000e-02,  1.1858274e-01,  1.2282222e+01,  2.9511754e+01,  3.0632330e+01,  0.0000000e+00
 3.3200000e-02,  1.1791882e-01,  1.2141092e+01,  2.9125273e+01,  3.0187509e+01,  0.0000000e+00
 3.3600000e-02,  1.1726101e-01,  1.2009148e+01,  2.8748846e+01,  2.9753473e+01,  0.0000000e+00
 3.4000000e-02,  1.1661054e-01,  1.1922202e+01,  2.8382107e+01,  2.9329844e+01,  0.0000000e+00
 3.4400000e-02,  1.1596626e-01,  1.1776295e+01,  2.8024705e+01,  2.8916243e+01,  0.0000000e+00
 3.4800000e-02,  1.1532792e-01,  1.1679300e+01,  2.7676279e+01,  2.8512308e+01,  0.0000000e+00
 3.5200000e-02,  1.1469506e-01,  1.1605840e+01,  2.7336457e+01,  2.8117709e+01,  0.0000000e+00
 3.5600000e-02,  1.1407009e-01,  1.1510347e+01,  2.7004909e+01,  2.7732120e+01,  0.0000000e+00
 3.6000000e-02,  1.1345474e-01,  1.1376444e+01,  2.6681301e+01,  2.7355237e+01,  0.0000000e+00
 3.6400000e-02,  1.1284918e-01,  1.1270250e+01,  2.6365294e+01,  2.6986771e+01,  0.0000000e+00
 3.6800000e-02,  1.1225366e-01,  1.1151337e+01,  2.6056510e+01,  2.6626426e+01,  0.0000000e+00
 3.7200000e-02,  1.1167109e-01,  1.1087338e+01,  2.5754516e+01,  2.6273950e+01,  0.0000000e+00
 3.7600000e-02,  1.1109832e-01,  1.1021849e+01,  2.5458996e+01,  2.5929088e+01,  0.0000000e+00
 3.8000000e-02,  1.1053345e-01,  1.0883290e+01,  2.5169927e+01,  2.5591558e+01,  0.0000000e+00
