t, velocity, pressure, k, omega, wall_distance
 1.0000000e-03,  1.0474767e+01,  1.0000000e+03,  9.2800002e+02,  9.9999684e+02,  1.0000000e+03
 2.0000000e-03,  7.2976133e-01,  1.1037072e+05,  5.0576078e+03,  8.2321466e+02,  0.0000000e+00
 3.0000000e-03,  3.4865892e-01,  2.8335752e+03,  2.7727076e+03,  7.1860858e+02,  0.0000000e+00
 4.0000000e-03,  2.7705332e-01,  2.6940462e+02,  1.6092611e+03,  5.9770313e+02,  0.0000000e+00
 5.0000000e-03,  2.2096841e-01,  6.4958052e+01,  9.9699686e+02,  4.8177099e+02,  0.0000000e+00
 6.0000000e-03,  2.0526389e-01,  3.8891663e+01,  6.5208222e+02,  3.8544050e+02,  0.0000000e+00
 7.0000000e-03,  1.9975395e-01,  3.3920368e+01,  4.3841464e+02,  3.1154207e+02,  0.0000000e+00
 8.0000000e-03,  1.9535021e-01,  3.0286164e+01,  2.9980903e+02,  2.5642212e+02,  0.0000000e+00
 9.0000000e-03,  1.9086362e-01,  2.7541446e+01,  2.1512096e+02,  2.1524208e+02,  0.0000000e+00
 1.0000000e-02,  1.8658463e-01,  2.5167058e+01,  1.6689567e+02,  1.8400544e+02,  0.0000000e+00
 1.1000000e-02,  1.8239156e-01,  2.3450020e+01,  1.3890358e+02,  1.5983766e+02,  0.0000000e+00
 1.2000000e-02,  1.7829219e-01,  2.2527580e+01,  1.2085791e+02,  1.4075814e+02,  0.0000000e+00
 1.3000000e-02,  1.7416287e-01,  2.1880592e+01,  1.0787957e+02,  1.2540645e+02,  0.0000000e+00
 1.4000000e-02,  1.7036036e-01,  2.1412270e+01,  9.7764832e+01,  1.1284010e+02,  0.0000000e+00
 1.5000000e-02,  1.6673592e-01,  2.0890277e+01,  8.9304188e+01,  1.0239496e+02,  0.0000000e+00
 1.6000000e-02,  1.6316742e-01,  2.0355203e+01,  8.2157864e+01,  9.3594380e+01,  0.0000000e+00
 1.7000000e-02,  1.5964484e-01,  1.9716056e+01,  7.6018308e+01,  8.6089792e+01,  0.0000000e+00
 1.8000000e-02,  1.5617233e-01,  1.9042956e+01,  7.0686061e+01,  7.9621726e+01,  0.0000000e+00
 1.9000000e-02,  1.5271654e-01,  1.8429608e+01,  6.6021884e+01,  7.3993895e+01,  0.0000000e+00
 2.0000000e-02,  1.4931137e-01,  1.7858115e+01,  6.1921985e+01,  6.9055460e+01,  0.0000000e+00
 2.1000000e-02,  1.4602757e-01,  1.7287920e+01,  5.8264634e+01,  6.4689046e+01,  0.0000000e+00
 2.2000000e-02,  1.4285408e-01,  1.6757722e+01,  5.4928288e+01,  6.0801887e+01,  0.0000000e+00
 2.3000000e-02,  1.3980151e-01,  1.6269214e+01,  5.1924927e+01,  5.7320039e+01,  0.0000000e+00
 2.4000000e-02,  1.3688737e-01,  1.5827386e+01,  4.9214085e+01,  5.4183631e+01,  0.0000000e+00
 2.5000000e-02,  1.3411514e-01,  1.5398452e+01,  4.6760593e+01,  5.1343923e+01,  0.0000000e+00
 2.6000000e-02,  1.3153888e-01,  1.5006783e+01,  4.4530922e+01,  4.8760870e+01,  0.0000000e+00
 2.7000000e-02,  1.2912250e-01,  1.4608948e+01,  4.2451821e+01,  4.6401060e+01,  0.0000000e+00
 2.8000000e-02,  1.2688452e-01,  1.4214867e+01,  4.0559526e+01,  4.4236808e+01,  0.0000000e+00
 2.9000000e-02,  1.2480266e-01,  1.3813643e+01,  3.8848903e+01,  4.2244730e+01,  0.0000000e+00
 3.0000000e-02,  1.2282190e-01,  1.3436643e+01,  3.7286758e+01,  4.0405187e+01,  0.0000000e+00
 3.1000000e-02,  1.2093769e-01,  1.3081525e+01,  3.5843103e+01,  3.8701261e+01,  0.0000000e+00
 3.2000000e-02,  1.1917317e-01,  1.2736895e+01,  3.4490599e+01,  3.7118376e+01,  0.0000000e+00
 3.3000000e-02,  1.1748561e-01,  1.2412662e+01,  3.3208359e+01,  3.5644104e+01,  0.0000000e+00
 3.4000000e-02,  1.1584782e-01,  1.2106649e+01,  3.2009340e+01,  3.4267537e+01,  0.0000000e+00
