 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.5926002e+02,  1.2201071e+02,  0.0000000e+00,  3.1000000e-05,  0.0000000e+00,  6.5869300e-01
       1,  6.2072873e+03,  0.0000000e+00,  0.0000000e+00,  2.7304400e-01,  6.1494953e+03,  3.6468489e+01
       2,  2.5182479e+02,  0.0000000e+00,  0.0000000e+00,  2.5571800e-01,  2.0079864e+02,  3.8265513e+01
       3,  1.9484807e+02,  0.0000000e+00,  0.0000000e+00,  2.5755000e-01,  1.4100812e+02,  4.1562204e+01
       4,  1.8053357e+02,  0.0000000e+00,  0.0000000e+00,  2.5519100e-01,  1.2255610e+02,  4.4958183e+01
       5,  1.6334824e+02,  0.0000000e+00,  0.0000000e+00,  2.5727400e-01,  1.0760007e+02,  4.3653131e+01
       6,  1.5724369e+02,  0.0000000e+00,  0.0000000e+00,  2.5614600e-01,  9.9262494e+01,  4.5071019e+01
       7,  1.5474227e+02,  0.0000000e+00,  0.0000000e+00,  2.6619500e-01,  9.7033703e+01,  4.4133236e+01
       8,  1.4374779e+02,  0.0000000e+00,  0.0000000e+00,  2.5470400e-01,  8.7492753e+01,  4.3689016e+01
       9,  1.5423070e+02,  0.0000000e+00,  0.0000000e+00,  2.5686000e-01,  9.8565106e+01,  4.3319030e+01
      10,  1.4982033e+02,  0.0000000e+00,  0.0000000e+00,  2.5470600e-01,  9.4676651e+01,  4.3516028e+01
      11,  1.5476190e+02,  0.0000000e+00,  0.0000000e+00,  2.5703000e-01,  9.8179280e+01,  4.4151565e+01
      12,  1.5250856e+02,  0.0000000e+00,  0.0000000e+00,  2.5593300e-01,  9.5802143e+01,  4.4136617e+01
      13,  1.5729054e+02,  0.0000000e+00,  0.0000000e+00,  2.5718700e-01,  1.0113460e+02,  4.3871990e+01
      14,  1.5070061e+02,  0.0000000e+00,  0.0000000e+00,  2.5466800e-01,  9.5549832e+01,  4.1857706e+01
      15,  1.5114883e+02,  0.0000000e+00,  0.0000000e+00,  2.5622400e-01,  9.5685382e+01,  4.3121236e+01
      16,  1.5095990e+02,  0.0000000e+00,  0.0000000e+00,  2.5409300e-01,  9.5781456e+01,  4.2179988e+01
      17,  1.4580826e+02,  0.0000000e+00,  0.0000000e+00,  2.5670000e-01,  9.0306555e+01,  4.2495462e+01
      18,  1.4032128e+02,  0.0000000e+00,  0.0000000e+00,  2.5518400e-01,  8.4836483e+01,  4.2554416e+01
      19,  1.4223618e+02,  0.0000000e+00,  0.0000000e+00,  2.5731800e-01,  8.5614098e+01,  4.3798716e+01
      20,  1.4316409e+02,  0.0000000e+00,  0.0000000e+00,  2.5482500e-01,  8.7803312e+01,  4.3080115e+01
      21,  1.4254604e+02,  0.0000000e+00,  0.0000000e+00,  2.5696100e-01,  8.9221201e+01,  4.0914891e+01
      22,  1.4029970e+02,  0.0000000e+00,  0.0000000e+00,  2.5481400e-01,  8.5712984e+01,  4.1269052e+01
      23,  1.4583369e+02,  0.0000000e+00,  0.0000000e+00,  2.5711600e-01,  8.9304633e+01,  4.4027364e+01
      24,  1.4562340e+02,  0.0000000e+00,  0.0000000e+00,  2.5561700e-01,  8.9525537e+01,  4.2820493e+01
      25,  1.4539598e+02,  0.0000000e+00,  0.0000000e+00,  2.5783200e-01,  9.0387980e+01,  4.2861479e+01
      26,  1.4143335e+02,  0.0000000e+00,  0.0000000e+00,  2.5542600e-01,  8.3572370e+01,  4.4944419e+01
      27,  1.3934515e+02,  0.0000000e+00,  0.0000000e+00,  2.5742200e-01,  8.7157243e+01,  4.0405827e+01
      28,  1.4292953e+02,  0.0000000e+00,  0.0000000e+00,  2.5538000e-01,  8.8498143e+01,  4.1371612e+01
      29,  1.3876196e+02,  0.0000000e+00,  0.0000000e+00,  2.5754500e-01,  8.4060508e+01,  4.2064811e+01
      30,  1.3723396e+02,  0.0000000e+00,  0.0000000e+00,  2.5575200e-01,  8.4166543e+01,  4.0818985e+01
      31,  1.3648988e+02,  0.0000000e+00,  0.0000000e+00,  2.5845800e-01,  8.1457220e+01,  4.3572282e+01
      32,  1.3344022e+02,  0.0000000e+00,  0.0000000e+00,  2.5590500e-01,  7.8170702e+01,  4.2713697e+01
      33,  1.3551205e+02,  0.0000000e+00,  0.0000000e+00,  2.5714300e-01,  7.9523303e+01,  4.2743369e+01
      34,  1.2811894e+02,  0.0000000e+00,  0.0000000e+00,  2.5508200e-01,  7.4477352e+01,  4.1333508e+01
      35,  1.3004549e+02,  0.0000000e+00,  0.0000000e+00,  2.5735800e-01,  7.1678361e+01,  4.6444624e+01
      36,  1.3772855e+02,  0.0000000e+00,  0.0000000e+00,  2.5564000e-01,  8.0266435e+01,  4.5667824e+01
      37,  1.3161713e+02,  0.0000000e+00,  0.0000000e+00,  2.5852000e-01,  7.6223133e+01,  4.3611775e+01
      38,  1.3479504e+02,  0.0000000e+00,  0.0000000e+00,  2.5564800e-01,  7.7403980e+01,  4.5746482e+01
      39,  1.2822379e+02,  0.0000000e+00,  0.0000000e+00,  2.5695700e-01,  7.3574944e+01,  4.2283662e+01
      40,  1.3088742e+02,  0.0000000e+00,  0.0000000e+00,  2.5474000e-01,  7.5078291e+01,  4.3665406e+01
      41,  1.3042621e+02,  0.0000000e+00,  0.0000000e+00,  2.5706000e-01,  7.3573268e+01,  4.4512921e+01
      42,  1.2582125e+02,  0.0000000e+00,  0.0000000e+00,  2.5565500e-01,  7.2686978e+01,  4.0630575e+01
      43,  1.2982205e+02,  0.0000000e+00,  0.0000000e+00,  2.5707900e-01,  7.3876919e+01,  4.3922156e+01
      44,  1.3223392e+02,  0.0000000e+00,  0.0000000e+00,  2.5553900e-01,  7.5514563e+01,  4.3919278e+01
      45,  1.2972399e+02,  0.0000000e+00,  0.0000000e+00,  2.5769900e-01,  7.3057724e+01,  4.4629825e+01
      46,  1.2700370e+02,  0.0000000e+00,  0.0000000e+00,  2.5482600e-01,  7.1536512e+01,  4.3460621e+01
      47,  1.3215097e+02,  0.0000000e+00,  0.0000000e+00,  2.5774100e-01,  7.6653212e+01,  4.3266571e+01
      48,  1.3004487e+02,  0.0000000e+00,  0.0000000e+00,  2.5677900e-01,  7.4760844e+01,  4.2747155e+01
      49,  1.3301654e+02,  0.0000000e+00,  0.0000000e+00,  2.5706600e-01,  7.6886144e+01,  4.4565521e+01
      50,  1.2934659e+02,  0.0000000e+00,  0.0000000e+00,  2.5504800e-01,  7.4892326e+01,  4.2671680e+01
      51,  1.3393415e+02,  0.0000000e+00,  0.0000000e+00,  2.5739900e-01,  7.5648459e+01,  4.5299176e+01
      52,  1.2675028e+02,  0.0000000e+00,  0.0000000e+00,  2.5482400e-01,  7.1141879e+01,  4.2908390e+01
      53,  1.2966592e+02,  0.0000000e+00,  0.0000000e+00,  2.5695100e-01,  7.3754652e+01,  4.3452947e+01
      54,  1.2789798e+02,  0.0000000e+00,  0.0000000e+00,  2.5608800e-01,  7.1450799e+01,  4.4200231e+01
      55,  1.2536779e+02,  0.0000000e+00,  0.0000000e+00,  2.5821500e-01,  6.9771348e+01,  4.3643897e+01
      56,  1.2802709e+02,  0.0000000e+00,  0.0000000e+00,  2.5494300e-01,  7.0831014e+01,  4.5056074e+01
      57,  1.2379960e+02,  0.0000000e+00,  0.0000000e+00,  2.5725500e-01,  6.8394809e+01,  4.3352393e+01
      58,  1.2996829e+02,  0.0000000e+00,  0.0000000e+00,  2.5495200e-01,  7.2937585e+01,  4.4239596e+01
      59,  1.3021123e+02,  0.0000000e+00,  0.0000000e+00,  2.5730100e-01,  7.1258499e+01,  4.5937026e+01
      60,  1.2794587e+02,  0.0000000e+00,  0.0000000e+00,  2.5637800e-01,  7.1112491e+01,  4.5650040e+01
      61,  1.2671174e+02,  0.0000000e+00,  0.0000000e+00,  2.5876400e-01,  6.8547181e+01,  4.5881259e+01
      62,  1.2766001e+02,  0.0000000e+00,  0.0000000e+00,  2.5534500e-01,  6.9555462e+01,  4.5614034e+01
      63,  1.2624952e+02,  0.0000000e+00,  0.0000000e+00,  2.5693000e-01,  6.8987030e+01,  4.4837828e+01
      64,  1.2663309e+02,  0.0000000e+00,  0.0000000e+00,  2.5504500e-01,  6.9228762e+01,  4.4786109e+01
      65,  1.2596415e+02,  0.0000000e+00,  0.0000000e+00,  2.5710700e-01,  6.9776543e+01,  4.3745996e+01
      66,  1.2517103e+02,  0.0000000e+00,  0.0000000e+00,  2.5584400e-01,  6.7561647e+01,  4.5221328e+01
      67,  1.2311003e+02,  0.0000000e+00,  0.0000000e+00,  2.5763900e-01,  6.6416782e+01,  4.4120669e+01
      68,  1.2351390e+02,  0.0000000e+00,  0.0000000e+00,  2.6273400e-01,  6.6349498e+01,  4.4551482e+01
      69,  1.2595462e+02,  0.0000000e+00,  0.0000000e+00,  2.5714800e-01,  6.6958795e+01,  4.6286580e+01
      70,  1.2553062e+02,  0.0000000e+00,  0.0000000e+00,  2.5551000e-01,  6.6401730e+01,  4.6646750e+01
      71,  1.2146362e+02,  0.0000000e+00,  0.0000000e+00,  2.5720000e-01,  6.3994861e+01,  4.4908606e+01
      72,  1.2266489e+02,  0.0000000e+00,  0.0000000e+00,  2.5583700e-01,  6.5431495e+01,  4.3838933e+01
      73,  1.2483647e+02,  0.0000000e+00,  0.0000000e+00,  2.5715500e-01,  6.7285148e+01,  4.4848388e+01
      74,  1.2673308e+02,  0.0000000e+00,  0.0000000e+00,  2.5597900e-01,  6.9425866e+01,  4.4716350e+01
      75,  1.2320121e+02,  0.0000000e+00,  0.0000000e+00,  2.5716300e-01,  6.6329576e+01,  4.4287879e+01
      76,  1.2555784e+02,  0.0000000e+00,  0.0000000e+00,  2.5515600e-01,  6.8732403e+01,  4.4993522e+01
      77,  1.2441469e+02,  0.0000000e+00,  0.0000000e+00,  2.5741500e-01,  6.8430587e+01,  4.2776722e+01
      78,  1.2566339e+02,  0.0000000e+00,  0.0000000e+00,  2.5599100e-01,  6.8773788e+01,  4.4830949e+01
      79,  1.2470124e+02,  0.0000000e+00,  0.0000000e+00,  2.5727900e-01,  6.8366783e+01,  4.4135887e+01
      80,  1.2514674e+02,  0.0000000e+00,  0.0000000e+00,  2.5523600e-01,  6.7756186e+01,  4.5365090e+01
      81,  1.2488615e+02,  0.0000000e+00,  0.0000000e+00,  2.5708300e-01,  6.7245774e+01,  4.5497094e+01
      82,  1.1895268e+02,  0.0000000e+00,  0.0000000e+00,  2.5484600e-01,  6.4985969e+01,  4.1647762e+01
      83,  1.2228619e+02,  0.0000000e+00,  0.0000000e+00,  2.5749800e-01,  6.6190554e+01,  4.4097219e+01
