 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  9.6766440e+00,  6.8641340e+00,  0.0000000e+00,  6.1906800e-01,  0.0000000e+00,  5.2493600e-01
       1,  1.2692738e+02,  0.0000000e+00,  0.0000000e+00,  4.4284600e-01,  8.6876570e+01,  2.9553431e+01
       2,  6.5485935e+01,  0.0000000e+00,  0.0000000e+00,  4.4132700e-01,  2.4015883e+01,  3.3421039e+01
       3,  6.5751798e+01,  0.0000000e+00,  0.0000000e+00,  4.3525600e-01,  2.3048088e+01,  3.4600060e+01
       4,  6.4085548e+01,  0.0000000e+00,  0.0000000e+00,  4.3659200e-01,  2.0098828e+01,  3.5943712e+01
       5,  6.1847409e+01,  0.0000000e+00,  0.0000000e+00,  4.3671500e-01,  1.9277903e+01,  3.4486859e+01
       6,  6.1248291e+01,  0.0000000e+00,  0.0000000e+00,  4.4377600e-01,  1.8382368e+01,  3.4697975e+01
       7,  5.7873926e+01,  0.0000000e+00,  0.0000000e+00,  4.2820300e-01,  1.5214652e+01,  3.4575755e+01
       8,  5.7483075e+01,  0.0000000e+00,  0.0000000e+00,  4.4067200e-01,  1.4890212e+01,  3.4516854e+01
       9,  5.7010467e+01,  0.0000000e+00,  0.0000000e+00,  4.2989900e-01,  1.3111741e+01,  3.5848196e+01
      10,  5.5582781e+01,  0.0000000e+00,  0.0000000e+00,  4.3334900e-01,  1.1594852e+01,  3.5923418e+01
      11,  5.4887174e+01,  0.0000000e+00,  0.0000000e+00,  4.3532500e-01,  1.0846821e+01,  3.5957697e+01
      12,  5.4630888e+01,  0.0000000e+00,  0.0000000e+00,  4.4099200e-01,  1.0624176e+01,  3.5929278e+01
      13,  5.4497699e+01,  0.0000000e+00,  0.0000000e+00,  4.2809500e-01,  1.0339427e+01,  3.6064029e+01
      14,  5.4440621e+01,  0.0000000e+00,  0.0000000e+00,  4.4260700e-01,  1.0263018e+01,  3.6077666e+01
      15,  5.4746634e+01,  0.0000000e+00,  0.0000000e+00,  4.4576000e-01,  1.0564523e+01,  3.6058669e+01
      16,  5.5040761e+01,  0.0000000e+00,  0.0000000e+00,  4.3469100e-01,  1.0841999e+01,  3.6113327e+01
      17,  5.4759191e+01,  0.0000000e+00,  0.0000000e+00,  4.3729200e-01,  1.0770311e+01,  3.5923968e+01
      18,  5.4465604e+01,  0.0000000e+00,  0.0000000e+00,  4.2046300e-01,  1.0435258e+01,  3.5990286e+01
      19,  5.4536275e+01,  0.0000000e+00,  0.0000000e+00,  4.3244900e-01,  1.0511329e+01,  3.6014820e+01
      20,  5.4513400e+01,  0.0000000e+00,  0.0000000e+00,  4.4874700e-01,  1.0513142e+01,  3.5896651e+01
      21,  5.4276675e+01,  0.0000000e+00,  0.0000000e+00,  4.3781100e-01,  1.0418423e+01,  3.5822846e+01
      22,  5.4255863e+01,  0.0000000e+00,  0.0000000e+00,  4.3040500e-01,  1.0276915e+01,  3.5904361e+01
      23,  5.4443968e+01,  0.0000000e+00,  0.0000000e+00,  4.2556600e-01,  1.0321496e+01,  3.6014468e+01
      24,  5.4459254e+01,  0.0000000e+00,  0.0000000e+00,  4.3816700e-01,  1.0281086e+01,  3.6093406e+01
      25,  5.4446692e+01,  0.0000000e+00,  0.0000000e+00,  4.4420600e-01,  1.0477928e+01,  3.5904496e+01
      26,  5.4556936e+01,  0.0000000e+00,  0.0000000e+00,  4.3855200e-01,  1.0400846e+01,  3.6011286e+01
      27,  5.4499810e+01,  0.0000000e+00,  0.0000000e+00,  4.3554200e-01,  1.0369728e+01,  3.6067952e+01
      28,  5.4188276e+01,  0.0000000e+00,  0.0000000e+00,  4.2833100e-01,  1.0262852e+01,  3.5863432e+01
      29,  5.4298640e+01,  0.0000000e+00,  0.0000000e+00,  4.2865000e-01,  1.0188479e+01,  3.6063208e+01
      30,  5.4216537e+01,  0.0000000e+00,  0.0000000e+00,  4.2722000e-01,  1.0144010e+01,  3.5995191e+01
      31,  5.3941167e+01,  0.0000000e+00,  0.0000000e+00,  4.3463700e-01,  1.0054380e+01,  3.5789158e+01
      32,  5.4085818e+01,  0.0000000e+00,  0.0000000e+00,  4.3349300e-01,  9.9287100e+00,  3.6041408e+01
      33,  5.3191405e+01,  0.0000000e+00,  0.0000000e+00,  4.3922300e-01,  9.8541530e+00,  3.5208635e+01
      34,  5.3251819e+01,  0.0000000e+00,  0.0000000e+00,  4.3405600e-01,  9.8507200e+00,  3.5255025e+01
      35,  5.3110844e+01,  0.0000000e+00,  0.0000000e+00,  4.4124700e-01,  9.8285320e+00,  3.5196486e+01
      36,  5.3279703e+01,  0.0000000e+00,  0.0000000e+00,  4.4616600e-01,  1.0013328e+01,  3.5193158e+01
      37,  5.3327504e+01,  0.0000000e+00,  0.0000000e+00,  4.4396600e-01,  9.8737990e+00,  3.5294805e+01
      38,  5.3395586e+01,  0.0000000e+00,  0.0000000e+00,  4.3330900e-01,  9.9574500e+00,  3.5365144e+01
      39,  5.2782584e+01,  0.0000000e+00,  0.0000000e+00,  4.3993900e-01,  9.9755170e+00,  3.4687159e+01
      40,  5.3093451e+01,  0.0000000e+00,  0.0000000e+00,  4.3892300e-01,  1.0009958e+01,  3.4937147e+01
      41,  5.2791122e+01,  0.0000000e+00,  0.0000000e+00,  4.3934800e-01,  9.8310700e+00,  3.4856600e+01
      42,  5.2687465e+01,  0.0000000e+00,  0.0000000e+00,  4.4603500e-01,  9.7241470e+00,  3.4764192e+01
      43,  5.2732489e+01,  0.0000000e+00,  0.0000000e+00,  4.3074100e-01,  9.7858180e+00,  3.4752338e+01
      44,  5.2769888e+01,  0.0000000e+00,  0.0000000e+00,  4.4503100e-01,  9.6473600e+00,  3.4938411e+01
      45,  5.2756338e+01,  0.0000000e+00,  0.0000000e+00,  4.4477400e-01,  9.5148530e+00,  3.5036171e+01
      46,  5.2855248e+01,  0.0000000e+00,  0.0000000e+00,  4.3499600e-01,  9.6401240e+00,  3.4981355e+01
      47,  5.2851654e+01,  0.0000000e+00,  0.0000000e+00,  4.3723800e-01,  9.5479280e+00,  3.5023941e+01
      48,  5.2470328e+01,  0.0000000e+00,  0.0000000e+00,  4.5654900e-01,  9.1633570e+00,  3.5038889e+01
      49,  5.2482533e+01,  0.0000000e+00,  0.0000000e+00,  4.4494400e-01,  9.2670130e+00,  3.5012742e+01
      50,  5.2459565e+01,  0.0000000e+00,  0.0000000e+00,  4.5824400e-01,  9.1591900e+00,  3.5042532e+01
      51,  5.2595392e+01,  0.0000000e+00,  0.0000000e+00,  4.4600600e-01,  9.3291020e+00,  3.5044543e+01
      52,  5.2464340e+01,  0.0000000e+00,  0.0000000e+00,  4.3701600e-01,  9.2587720e+00,  3.5011332e+01
      53,  5.2495496e+01,  0.0000000e+00,  0.0000000e+00,  4.4590900e-01,  9.3009030e+00,  3.4989652e+01
      54,  5.2137031e+01,  0.0000000e+00,  0.0000000e+00,  4.3641700e-01,  8.9586440e+00,  3.4975080e+01
      55,  5.2257717e+01,  0.0000000e+00,  0.0000000e+00,  4.3605600e-01,  8.9827100e+00,  3.5052811e+01
      56,  5.2117379e+01,  0.0000000e+00,  0.0000000e+00,  4.5051200e-01,  9.0081660e+00,  3.4896243e+01
      57,  5.2194338e+01,  0.0000000e+00,  0.0000000e+00,  4.3319900e-01,  9.0380310e+00,  3.4899934e+01
      58,  5.2040951e+01,  0.0000000e+00,  0.0000000e+00,  4.5164300e-01,  8.9044890e+00,  3.4921985e+01
      59,  5.2032889e+01,  0.0000000e+00,  0.0000000e+00,  4.3578600e-01,  8.7934230e+00,  3.5028130e+01
      60,  5.2200976e+01,  0.0000000e+00,  0.0000000e+00,  4.3756200e-01,  8.7786910e+00,  3.5166184e+01
