t, velocity, pressure, k, omega, wall_distance
 1.0000000e-03,  2.5117836e+01,  1.0000000e+03,  9.2818042e+02,  9.9948481e+02,  1.0000000e+03
 2.0000000e-03,  4.2653211e+00,  6.3245661e+02,  1.2145697e+01,  5.1321249e+02,  0.0000000e+00
 3.0000000e-03,  3.1839870e-01,  1.6454639e+05,  1.2011101e+01,  1.6560450e+02,  0.0000000e+00
 4.0000000e-03,  2.3910576e-01,  3.3786017e+03,  1.1878859e+01,  5.8196187e+01,  0.0000000e+00
 5.0000000e-03,  1.0967928e-01,  6.0887314e+02,  1.1749457e+01,  1.8283185e+01,  0.0000000e+00
 6.0000000e-03,  7.9623322e-02,  5.3318424e+02,  1.1622824e+01,  1.1097515e+01,  0.0000000e+00
 7.0000000e-03,  7.3057043e-02,  9.8261470e+01,  1.1498847e+01,  1.0316243e+01,  0.0000000e+00
 8.0000000e-03,  6.9519531e-02,  4.4953684e+01,  1.1377444e+01,  1.0033812e+01,  0.0000000e+00
 9.0000000e-03,  6.7388815e-02,  2.6517621e+01,  1.1258529e+01,  9.8319040e+00,  0.0000000e+00
 1.0000000e-02,  6.5777902e-02,  2.2782742e+01,  1.1142037e+01,  9.6654445e+00,  0.0000000e+00
 1.1000000e-02,  6.4437862e-02,  1.9629741e+01,  1.1027897e+01,  9.5207101e+00,  0.0000000e+00
 1.2000000e-02,  6.3270567e-02,  1.6928672e+01,  1.0916036e+01,  9.3909284e+00,  0.0000000e+00
 1.3000000e-02,  6.2230193e-02,  1.4894374e+01,  1.0806381e+01,  1.2315566e+01,  0.0000000e+00
 1.4000000e-02,  6.1288278e-02,  1.3647789e+01,  1.0698913e+01,  9.8938074e+00,  0.0000000e+00
 1.5000000e-02,  6.0423212e-02,  1.2981509e+01,  1.0593459e+01,  9.3495711e+00,  0.0000000e+00
 1.6000000e-02,  5.9620203e-02,  1.2681635e+01,  1.0490056e+01,  9.0128135e+00,  0.0000000e+00
 1.7000000e-02,  5.8868254e-02,  1.2596753e+01,  1.0388603e+01,  8.8777792e+00,  0.0000000e+00
 1.8000000e-02,  5.8158981e-02,  1.2671557e+01,  1.0289066e+01,  8.7524216e+00,  0.0000000e+00
 1.9000000e-02,  5.7486191e-02,  1.2839002e+01,  1.0191372e+01,  9.0456576e+00,  0.0000000e+00
 2.0000000e-02,  5.6845613e-02,  1.3071170e+01,  1.0095498e+01,  8.9711651e+00,  0.0000000e+00
 2.1000000e-02,  5.6230826e-02,  1.3330312e+01,  1.0001355e+01,  8.5301948e+00,  0.0000000e+00
 2.2000000e-02,  5.5640550e-02,  1.3534645e+01,  9.9088984e+00,  8.3936077e+00,  0.0000000e+00
 2.3000000e-02,  5.5072195e-02,  1.3776322e+01,  9.8181013e+00,  8.3253984e+00,  0.0000000e+00
 2.4000000e-02,  5.4522137e-02,  1.3973867e+01,  9.7289291e+00,  9.2905937e+00,  0.0000000e+00
 2.5000000e-02,  5.3987808e-02,  1.4088992e+01,  9.6413527e+00,  8.4818777e+00,  0.0000000e+00
 2.6000000e-02,  5.3471704e-02,  1.4228741e+01,  9.5552580e+00,  8.1072025e+00,  0.0000000e+00
 2.7000000e-02,  5.2971338e-02,  1.4311271e+01,  9.4706311e+00,  7.9725821e+00,  0.0000000e+00
