t, velocity, pressure, k, omega, wall_distance
 1.0000000e-03,  1.0000000e+03,  1.0000000e+03,  9.2800389e+02,  9.9999492e+02,  1.0000000e+03
 2.0000000e-03,  1.8009299e+01,  1.0000000e+03,  7.6745925e+00,  7.0130636e+00,  0.0000000e+00
 3.0000000e-03,  7.2195722e+00,  1.9037448e+04,  7.6216292e+00,  6.9649061e+00,  0.0000000e+00
 4.0000000e-03,  4.1783012e+00,  7.0271887e+03,  7.5691867e+00,  6.9172084e+00,  0.0000000e+00
 5.0000000e-03,  2.8897320e+00,  3.5900721e+02,  7.5172765e+00,  6.8700830e+00,  0.0000000e+00
 6.0000000e-03,  2.1993253e+00,  6.9937939e+02,  7.4660481e+00,  6.8235813e+00,  0.0000000e+00
 7.0000000e-03,  1.7629873e+00,  4.0949785e+02,  7.4154992e+00,  6.7776969e+00,  0.0000000e+00
 8.0000000e-03,  1.4561310e+00,  2.5239868e+02,  7.3656212e+00,  6.7324203e+00,  0.0000000e+00
 9.0000000e-03,  1.2269362e+00,  1.9017964e+02,  7.3164036e+00,  6.6877410e+00,  0.0000000e+00
 1.0000000e-02,  1.0508035e+00,  1.6458208e+02,  7.2678351e+00,  6.6436481e+00,  0.0000000e+00
 1.1000000e-02,  9.1451694e-01,  1.5389897e+02,  7.2199036e+00,  6.6001305e+00,  0.0000000e+00
 1.2000000e-02,  8.1026326e-01,  1.4980209e+02,  7.1725973e+00,  6.5571775e+00,  0.0000000e+00
 1.3000000e-02,  7.3334199e-01,  1.4892640e+02,  7.1259044e+00,  6.5147781e+00,  0.0000000e+00
 1.4000000e-02,  6.8107153e-01,  1.4932899e+02,  7.0798133e+00,  6.4729221e+00,  0.0000000e+00
 1.5000000e-02,  6.5199632e-01,  1.5026192e+02,  7.0343126e+00,  6.4315990e+00,  0.0000000e+00
 1.6000000e-02,  6.4530689e-01,  1.5134297e+02,  6.9893911e+00,  6.3907988e+00,  0.0000000e+00
 1.7000000e-02,  6.6091276e-01,  1.5235912e+02,  6.9450380e+00,  6.3505118e+00,  0.0000000e+00
 1.8000000e-02,  6.9870135e-01,  1.5331888e+02,  6.9012426e+00,  6.3107283e+00,  0.0000000e+00
 1.9000000e-02,  7.5887849e-01,  1.5417513e+02,  6.8579945e+00,  6.2714390e+00,  0.0000000e+00
 2.0000000e-02,  8.4239692e-01,  1.5494051e+02,  6.8152836e+00,  6.2326348e+00,  0.0000000e+00
 2.1000000e-02,  9.5072707e-01,  1.5559852e+02,  6.7730998e+00,  6.1943067e+00,  0.0000000e+00
 2.2000000e-02,  1.0864474e+00,  1.5617199e+02,  6.7314335e+00,  6.1564460e+00,  0.0000000e+00
 2.3000000e-02,  1.2532411e+00,  1.5666499e+02,  6.6902751e+00,  6.1190442e+00,  0.0000000e+00
 2.4000000e-02,  1.5386159e+00,  1.5881559e+02,  6.6496153e+00,  6.0820931e+00,  0.0000000e+00
 2.5000000e-02,  1.8795067e+00,  1.5928927e+02,  6.6094514e+00,  6.0455870e+00,  0.0000000e+00
