 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.5425550e+00,  1.1858780e+00,  0.0000000e+00,  2.3000000e-05,  0.0000000e+00,  0.0000000e+00
       1,  4.0039587e+01,  0.0000000e+00,  0.0000000e+00,  1.6338500e-01,  2.8090439e+01,  5.8373780e+00
       2,  1.7782668e+01,  0.0000000e+00,  0.0000000e+00,  1.2000600e-01,  6.6517570e+00,  3.4178630e+00
       3,  2.0185140e+01,  0.0000000e+00,  0.0000000e+00,  1.1894500e-01,  6.6813280e+00,  5.1258950e+00
       4,  2.0829297e+01,  0.0000000e+00,  0.0000000e+00,  1.2305100e-01,  6.6966030e+00,  5.7276900e+00
       5,  2.1837699e+01,  0.0000000e+00,  0.0000000e+00,  1.1970400e-01,  6.5228230e+00,  6.3310440e+00
       6,  1.9569909e+01,  0.0000000e+00,  0.0000000e+00,  1.2454300e-01,  5.7915740e+00,  5.4500700e+00
       7,  1.8908830e+01,  0.0000000e+00,  0.0000000e+00,  1.2088100e-01,  5.4742290e+00,  5.2870270e+00
       8,  1.9210988e+01,  0.0000000e+00,  0.0000000e+00,  1.2064700e-01,  5.4833000e+00,  5.3715710e+00
       9,  1.9999051e+01,  0.0000000e+00,  0.0000000e+00,  1.1720000e-01,  5.4126890e+00,  5.8197610e+00
      10,  1.9374897e+01,  0.0000000e+00,  0.0000000e+00,  1.1972900e-01,  5.4872020e+00,  5.4320720e+00
      11,  1.9061339e+01,  0.0000000e+00,  0.0000000e+00,  1.2136400e-01,  5.4514510e+00,  5.2774880e+00
      12,  2.0111578e+01,  0.0000000e+00,  0.0000000e+00,  1.1776500e-01,  5.5574760e+00,  5.8802740e+00
      13,  1.9192388e+01,  0.0000000e+00,  0.0000000e+00,  1.1948700e-01,  5.5660940e+00,  5.3105180e+00
      14,  1.9210901e+01,  0.0000000e+00,  0.0000000e+00,  1.1930200e-01,  5.5665270e+00,  5.3174670e+00
      15,  1.9102974e+01,  0.0000000e+00,  0.0000000e+00,  1.2080300e-01,  5.6178620e+00,  5.1304930e+00
      16,  1.9290043e+01,  0.0000000e+00,  0.0000000e+00,  1.1692900e-01,  5.6265940e+00,  5.2981120e+00
      17,  1.9515159e+01,  0.0000000e+00,  0.0000000e+00,  1.1914500e-01,  5.6638780e+00,  5.4277270e+00
      18,  2.0052837e+01,  0.0000000e+00,  0.0000000e+00,  1.2012400e-01,  5.7304060e+00,  5.4650200e+00
      19,  1.9152436e+01,  0.0000000e+00,  0.0000000e+00,  1.1998200e-01,  5.7369140e+00,  5.0996710e+00
      20,  2.0736753e+01,  0.0000000e+00,  0.0000000e+00,  1.2266500e-01,  6.1625260e+00,  5.4252690e+00
      21,  2.0489637e+01,  0.0000000e+00,  0.0000000e+00,  1.2076000e-01,  6.1811220e+00,  5.9720760e+00
      22,  1.9825798e+01,  0.0000000e+00,  0.0000000e+00,  1.1726900e-01,  6.0017930e+00,  5.3623110e+00
      23,  2.0265993e+01,  0.0000000e+00,  0.0000000e+00,  1.1690000e-01,  6.0891730e+00,  5.6463790e+00
      24,  1.9857106e+01,  0.0000000e+00,  0.0000000e+00,  1.1990600e-01,  6.2846140e+00,  5.2372240e+00
      25,  2.0804968e+01,  0.0000000e+00,  0.0000000e+00,  1.1691800e-01,  6.3202350e+00,  6.0271170e+00
