 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.3991798e+02,  1.3224433e+02,  0.0000000e+00,  2.3000000e-05,  0.0000000e+00,  0.0000000e+00
       1,  3.0764336e+02,  0.0000000e+00,  0.0000000e+00,  7.6427800e-01,  2.5962816e+02,  2.5313853e+01
       2,  1.0737626e+02,  0.0000000e+00,  0.0000000e+00,  7.6062700e-01,  5.2497235e+01,  2.9609618e+01
       3,  9.9353167e+01,  0.0000000e+00,  0.0000000e+00,  9.6186900e-01,  4.0424527e+01,  3.0867845e+01
       4,  8.8405419e+01,  0.0000000e+00,  0.0000000e+00,  7.1655800e-01,  2.9851813e+01,  3.1046559e+01
       5,  8.3102183e+01,  0.0000000e+00,  0.0000000e+00,  7.5869100e-01,  2.4347723e+01,  3.1185688e+01
       6,  8.2120046e+01,  0.0000000e+00,  0.0000000e+00,  7.5896600e-01,  2.3646282e+01,  3.0799114e+01
       7,  8.2689571e+01,  0.0000000e+00,  0.0000000e+00,  8.0076700e-01,  2.4108190e+01,  3.1048657e+01
       8,  8.3330053e+01,  0.0000000e+00,  0.0000000e+00,  7.5907900e-01,  2.4524185e+01,  3.1107544e+01
       9,  8.3422729e+01,  0.0000000e+00,  0.0000000e+00,  9.0221700e-01,  2.1749763e+01,  3.3856390e+01
      10,  8.2678233e+01,  0.0000000e+00,  0.0000000e+00,  7.5990000e-01,  2.0527367e+01,  3.4639643e+01
      11,  7.9259835e+01,  0.0000000e+00,  0.0000000e+00,  7.7863000e-01,  1.7407186e+01,  3.4490711e+01
      12,  8.5040165e+01,  0.0000000e+00,  0.0000000e+00,  7.5305700e-01,  2.3178390e+01,  3.4388753e+01
      13,  8.4449495e+01,  0.0000000e+00,  0.0000000e+00,  8.6957800e-01,  2.2375505e+01,  3.4635462e+01
      14,  8.1820635e+01,  0.0000000e+00,  0.0000000e+00,  7.8277000e-01,  1.9672880e+01,  3.4618930e+01
      15,  8.0882077e+01,  0.0000000e+00,  0.0000000e+00,  6.7266200e-01,  1.8298608e+01,  3.4902381e+01
      16,  8.3496000e+01,  0.0000000e+00,  0.0000000e+00,  7.1016500e-01,  2.1241142e+01,  3.4694958e+01
      17,  8.1722048e+01,  0.0000000e+00,  0.0000000e+00,  7.6332200e-01,  1.9213638e+01,  3.5035620e+01
      18,  8.4454141e+01,  0.0000000e+00,  0.0000000e+00,  6.5742600e-01,  2.2122235e+01,  3.4939022e+01
      19,  8.3826042e+01,  0.0000000e+00,  0.0000000e+00,  7.6084800e-01,  2.1635867e+01,  3.4137037e+01
      20,  7.7479584e+01,  0.0000000e+00,  0.0000000e+00,  8.9067000e-01,  1.6113257e+01,  3.3908545e+01
      21,  8.0550080e+01,  0.0000000e+00,  0.0000000e+00,  8.0016400e-01,  1.9199504e+01,  3.3934170e+01
      22,  8.0249924e+01,  0.0000000e+00,  0.0000000e+00,  8.0102000e-01,  1.9176936e+01,  3.3771926e+01
      23,  8.2590683e+01,  0.0000000e+00,  0.0000000e+00,  7.6850100e-01,  2.0656535e+01,  3.4157196e+01
      24,  8.0239470e+01,  0.0000000e+00,  0.0000000e+00,  7.9051700e-01,  1.8392316e+01,  3.4180920e+01
      25,  7.9021545e+01,  0.0000000e+00,  0.0000000e+00,  8.9804400e-01,  1.7363107e+01,  3.3936800e+01
      26,  7.9747528e+01,  0.0000000e+00,  0.0000000e+00,  6.6071900e-01,  1.8557138e+01,  3.3904010e+01
      27,  8.3642508e+01,  0.0000000e+00,  0.0000000e+00,  9.9355600e-01,  1.7619012e+01,  3.4254840e+01
      28,  8.2050004e+01,  0.0000000e+00,  0.0000000e+00,  8.9224200e-01,  2.1314494e+01,  3.2996302e+01
      29,  7.4326721e+01,  0.0000000e+00,  0.0000000e+00,  7.2904600e-01,  1.5069970e+01,  3.2060442e+01
      30,  7.5692629e+01,  0.0000000e+00,  0.0000000e+00,  7.4286700e-01,  1.6107460e+01,  3.2163605e+01
      31,  7.4590843e+01,  0.0000000e+00,  0.0000000e+00,  6.7333800e-01,  1.5846325e+01,  3.1854962e+01
      32,  7.6569316e+01,  0.0000000e+00,  0.0000000e+00,  7.4321000e-01,  1.4695721e+01,  3.2625612e+01
      33,  7.1590683e+01,  0.0000000e+00,  0.0000000e+00,  6.7037000e-01,  1.1890188e+01,  3.2473939e+01
      34,  7.2736737e+01,  0.0000000e+00,  0.0000000e+00,  6.6317500e-01,  1.2989408e+01,  3.2275887e+01
      35,  7.6015016e+01,  0.0000000e+00,  0.0000000e+00,  7.3662700e-01,  1.6398818e+01,  3.2290949e+01
      36,  7.9228013e+01,  0.0000000e+00,  0.0000000e+00,  9.9221800e-01,  1.9384345e+01,  3.2297862e+01
      37,  7.8229806e+01,  0.0000000e+00,  0.0000000e+00,  7.4920000e-01,  1.8397627e+01,  3.2190032e+01
      38,  7.9380068e+01,  0.0000000e+00,  0.0000000e+00,  7.6546800e-01,  1.9516299e+01,  3.2178881e+01
      39,  7.8349729e+01,  0.0000000e+00,  0.0000000e+00,  7.8942100e-01,  1.8531607e+01,  3.2270270e+01
      40,  8.4427825e+01,  0.0000000e+00,  0.0000000e+00,  6.8006000e-01,  2.2152154e+01,  3.2371973e+01
      41,  7.8562184e+01,  0.0000000e+00,  0.0000000e+00,  8.1402100e-01,  1.9028426e+01,  3.2192012e+01
      42,  7.6490487e+01,  0.0000000e+00,  0.0000000e+00,  9.3608700e-01,  1.6849904e+01,  3.2041186e+01
      43,  7.7899945e+01,  0.0000000e+00,  0.0000000e+00,  9.9424600e-01,  1.8477382e+01,  3.1937882e+01
      44,  7.8710003e+01,  0.0000000e+00,  0.0000000e+00,  8.1676300e-01,  1.8719506e+01,  3.2290432e+01
      45,  8.0370157e+01,  0.0000000e+00,  0.0000000e+00,  9.7495200e-01,  1.8174323e+01,  3.2747123e+01
      46,  8.8959596e+01,  0.0000000e+00,  0.0000000e+00,  8.4161900e-01,  2.9001760e+01,  3.1870526e+01
      47,  9.1880049e+01,  0.0000000e+00,  0.0000000e+00,  8.2135600e-01,  3.1875596e+01,  3.2620235e+01
