t, velocity, pressure, k, omega, wall_distance
 1.0000000e-03,  1.0275386e+01,  1.0000000e+03,  9.2800027e+02,  9.9999602e+02,  1.0000000e+03
 2.0000000e-03,  1.3159858e+00,  1.4317051e+04,  1.2507828e+01,  3.0400020e+01,  0.0000000e+00
 3.0000000e-03,  1.3684816e-01,  3.4863221e+04,  1.2367192e+01,  1.1557626e+01,  0.0000000e+00
 4.0000000e-03,  7.3416652e-02,  3.4815116e+02,  1.2229671e+01,  1.1220608e+01,  0.0000000e+00
 5.0000000e-03,  5.7385551e-02,  1.8642852e+02,  1.2095161e+01,  1.1043592e+01,  0.0000000e+00
 6.0000000e-03,  5.0338083e-02,  1.4747924e+02,  1.1963563e+01,  1.0904522e+01,  0.0000000e+00
 7.0000000e-03,  4.5648439e-02,  1.2479929e+02,  1.1834783e+01,  1.0779085e+01,  0.0000000e+00
 8.0000000e-03,  4.2024167e-02,  1.0641250e+02,  1.1708733e+01,  1.0660632e+01,  0.0000000e+00
 9.0000000e-03,  3.9106891e-02,  9.3406183e+01,  1.1585326e+01,  1.0546708e+01,  0.0000000e+00
 1.0000000e-02,  3.6748854e-02,  8.3307799e+01,  1.1464480e+01,  1.0436192e+01,  0.0000000e+00
 1.1000000e-02,  3.4840303e-02,  7.5276498e+01,  1.1346118e+01,  1.0328507e+01,  0.0000000e+00
 1.2000000e-02,  3.3278688e-02,  6.8761296e+01,  1.1230163e+01,  1.0223317e+01,  0.0000000e+00
 1.3000000e-02,  3.1973421e-02,  6.3364905e+01,  1.1116544e+01,  1.0120420e+01,  0.0000000e+00
 1.4000000e-02,  3.0852673e-02,  5.8790045e+01,  1.1005190e+01,  1.0019673e+01,  0.0000000e+00
 1.5000000e-02,  2.9865141e-02,  5.4787876e+01,  1.0896035e+01,  9.9209724e+00,  0.0000000e+00
 1.6000000e-02,  2.8976691e-02,  5.1407547e+01,  1.0789015e+01,  9.8242291e+00,  0.0000000e+00
 1.7000000e-02,  2.8166627e-02,  4.8371095e+01,  1.0684067e+01,  9.7293747e+00,  0.0000000e+00
 1.8000000e-02,  2.7421709e-02,  4.5274238e+01,  1.0581132e+01,  9.6363456e+00,  0.0000000e+00
 1.9000000e-02,  2.6733059e-02,  4.2660747e+01,  1.0480154e+01,  9.5450837e+00,  0.0000000e+00
 2.0000000e-02,  2.6093987e-02,  4.0073998e+01,  1.0381076e+01,  9.4555366e+00,  0.0000000e+00
 2.1000000e-02,  2.5498707e-02,  3.7520475e+01,  1.0283846e+01,  9.3676536e+00,  0.0000000e+00
 2.2000000e-02,  2.4941879e-02,  3.4975534e+01,  1.0188413e+01,  9.2813865e+00,  0.0000000e+00
 2.3000000e-02,  2.4418548e-02,  3.2486169e+01,  1.0094727e+01,  9.1966900e+00,  0.0000000e+00
 2.4000000e-02,  2.3924097e-02,  2.9885652e+01,  1.0002741e+01,  9.1135206e+00,  0.0000000e+00
 2.5000000e-02,  2.3454226e-02,  2.7249255e+01,  9.9124097e+00,  9.0318368e+00,  0.0000000e+00
 2.6000000e-02,  2.3005097e-02,  2.4567742e+01,  9.8236885e+00,  8.9515985e+00,  0.0000000e+00
