 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction
       0,  1.9611534e+01,  1.9098593e+01,  0.0000000e+00,  1.6000000e-05,  0.0000000e+00,  0.0000000e+00
       1,  4.0746420e+00,  0.0000000e+00,  0.0000000e+00,  1.4055000e-02,  3.1184290e+00,  4.7683700e-01
       2,  2.4835510e+00,  0.0000000e+00,  0.0000000e+00,  1.1603000e-02,  1.3405080e+00,  5.6528600e-01
       3,  2.0781160e+00,  0.0000000e+00,  0.0000000e+00,  1.1627000e-02,  9.3328700e-01,  5.6761900e-01
       4,  1.7183660e+00,  0.0000000e+00,  0.0000000e+00,  1.1696000e-02,  5.7350000e-01,  5.6954500e-01
       5,  1.6047730e+00,  0.0000000e+00,  0.0000000e+00,  1.1800000e-02,  4.6364600e-01,  5.6478300e-01
       6,  1.5222710e+00,  0.0000000e+00,  0.0000000e+00,  1.1624000e-02,  3.8042900e-01,  5.6568900e-01
       7,  1.4946380e+00,  0.0000000e+00,  0.0000000e+00,  1.3204000e-02,  3.5226500e-01,  5.6468700e-01
       8,  1.4904430e+00,  0.0000000e+00,  0.0000000e+00,  1.1623000e-02,  3.4964500e-01,  5.6485000e-01
       9,  1.4887670e+00,  0.0000000e+00,  0.0000000e+00,  1.1777000e-02,  3.4514300e-01,  5.6495000e-01
      10,  1.4915220e+00,  0.0000000e+00,  0.0000000e+00,  1.1682000e-02,  3.4901200e-01,  5.6505200e-01
      11,  1.4954240e+00,  0.0000000e+00,  0.0000000e+00,  1.1635000e-02,  3.4900200e-01,  5.6486400e-01
      12,  1.4914740e+00,  0.0000000e+00,  0.0000000e+00,  1.1654000e-02,  3.5043300e-01,  5.6492300e-01
      13,  1.4912530e+00,  0.0000000e+00,  0.0000000e+00,  1.1787000e-02,  3.4786900e-01,  5.6602300e-01
      14,  1.4907560e+00,  0.0000000e+00,  0.0000000e+00,  1.1630000e-02,  3.4934100e-01,  5.6475200e-01
      15,  1.4824940e+00,  0.0000000e+00,  0.0000000e+00,  1.1685000e-02,  3.3938000e-01,  5.6593900e-01
      16,  1.4795920e+00,  0.0000000e+00,  0.0000000e+00,  1.1667000e-02,  3.3350100e-01,  5.6688100e-01
      17,  1.4639270e+00,  0.0000000e+00,  0.0000000e+00,  1.1649000e-02,  3.2203400e-01,  5.6541400e-01
      18,  1.4659140e+00,  0.0000000e+00,  0.0000000e+00,  1.1649000e-02,  3.2194800e-01,  5.6632600e-01
      19,  1.4595730e+00,  0.0000000e+00,  0.0000000e+00,  1.1656000e-02,  3.1616800e-01,  5.6505200e-01
      20,  1.4592070e+00,  0.0000000e+00,  0.0000000e+00,  1.1691000e-02,  3.1474000e-01,  5.6589900e-01
      21,  1.4630930e+00,  0.0000000e+00,  0.0000000e+00,  1.1679000e-02,  3.1922500e-01,  5.6493500e-01
      22,  1.4579300e+00,  0.0000000e+00,  0.0000000e+00,  1.1624000e-02,  3.1628100e-01,  5.6532700e-01
      23,  1.4568980e+00,  0.0000000e+00,  0.0000000e+00,  1.1673000e-02,  3.1536900e-01,  5.6500300e-01
      24,  1.4664430e+00,  0.0000000e+00,  0.0000000e+00,  1.1654000e-02,  3.1742500e-01,  5.6623600e-01
      25,  1.4496020e+00,  0.0000000e+00,  0.0000000e+00,  1.1695000e-02,  3.0662600e-01,  5.6673900e-01
      26,  1.4458890e+00,  0.0000000e+00,  0.0000000e+00,  1.1770000e-02,  3.0259700e-01,  5.6525100e-01
      27,  1.4428630e+00,  0.0000000e+00,  0.0000000e+00,  1.1650000e-02,  3.0061600e-01,  5.6580000e-01
      28,  1.4384510e+00,  0.0000000e+00,  0.0000000e+00,  1.1647000e-02,  2.9651300e-01,  5.6508600e-01
      29,  1.4543930e+00,  0.0000000e+00,  0.0000000e+00,  1.1682000e-02,  2.9556900e-01,  5.8245900e-01
      30,  1.4279550e+00,  0.0000000e+00,  0.0000000e+00,  1.1639000e-02,  2.8431000e-01,  5.6634200e-01
      31,  1.4247790e+00,  0.0000000e+00,  0.0000000e+00,  1.1804000e-02,  2.8440100e-01,  5.6504200e-01
      32,  1.4137740e+00,  0.0000000e+00,  0.0000000e+00,  1.3190000e-02,  2.6925400e-01,  5.6546800e-01
      33,  1.3950750e+00,  0.0000000e+00,  0.0000000e+00,  1.1834000e-02,  2.5135200e-01,  5.6653900e-01
      34,  1.3361580e+00,  0.0000000e+00,  0.0000000e+00,  1.1668000e-02,  1.9325300e-01,  5.6605400e-01
      35,  1.3967180e+00,  0.0000000e+00,  0.0000000e+00,  1.1667000e-02,  2.5417400e-01,  5.6646800e-01
      36,  1.4180240e+00,  0.0000000e+00,  0.0000000e+00,  1.3231000e-02,  2.7279800e-01,  5.6642800e-01
      37,  1.4206140e+00,  0.0000000e+00,  0.0000000e+00,  1.1671000e-02,  2.7871300e-01,  5.6531800e-01
      38,  1.4367030e+00,  0.0000000e+00,  0.0000000e+00,  1.1671000e-02,  2.9320800e-01,  5.6669300e-01
      39,  1.4380680e+00,  0.0000000e+00,  0.0000000e+00,  1.1695000e-02,  2.9578000e-01,  5.6495100e-01
      40,  1.4581170e+00,  0.0000000e+00,  0.0000000e+00,  1.1658000e-02,  2.9865000e-01,  5.8177300e-01
      41,  1.4489320e+00,  0.0000000e+00,  0.0000000e+00,  1.1624000e-02,  3.0681300e-01,  5.6674200e-01
      42,  1.4714920e+00,  0.0000000e+00,  0.0000000e+00,  1.1664000e-02,  3.1201700e-01,  5.6630400e-01
      43,  1.4568310e+00,  0.0000000e+00,  0.0000000e+00,  1.1687000e-02,  3.1462500e-01,  5.6603800e-01
      44,  1.4587680e+00,  0.0000000e+00,  0.0000000e+00,  1.1634000e-02,  3.1754800e-01,  5.6497400e-01
      45,  1.4677680e+00,  0.0000000e+00,  0.0000000e+00,  1.1653000e-02,  3.1657400e-01,  5.7077900e-01
      46,  1.4654090e+00,  0.0000000e+00,  0.0000000e+00,  1.1655000e-02,  3.2291900e-01,  5.6507600e-01
      47,  1.4689750e+00,  0.0000000e+00,  0.0000000e+00,  1.1664000e-02,  3.2480500e-01,  5.6643300e-01
      48,  1.4697660e+00,  0.0000000e+00,  0.0000000e+00,  1.1649000e-02,  3.2597000e-01,  5.6604000e-01
      49,  1.4716040e+00,  0.0000000e+00,  0.0000000e+00,  1.1677000e-02,  3.2589000e-01,  5.6501000e-01
      50,  1.4696800e+00,  0.0000000e+00,  0.0000000e+00,  1.1658000e-02,  3.2968900e-01,  5.6486600e-01
      51,  1.4664760e+00,  0.0000000e+00,  0.0000000e+00,  1.1711000e-02,  3.2597900e-01,  5.6503400e-01
      52,  1.4733920e+00,  0.0000000e+00,  0.0000000e+00,  1.1663000e-02,  3.2713300e-01,  5.6659900e-01
      53,  1.4691160e+00,  0.0000000e+00,  0.0000000e+00,  1.3302000e-02,  3.2673400e-01,  5.6504900e-01
      54,  1.4711990e+00,  0.0000000e+00,  0.0000000e+00,  1.1685000e-02,  3.2878000e-01,  5.6508000e-01
      55,  1.4699500e+00,  0.0000000e+00,  0.0000000e+00,  1.1677000e-02,  3.2584300e-01,  5.6571700e-01
      56,  1.4700010e+00,  0.0000000e+00,  0.0000000e+00,  1.1676000e-02,  3.2699900e-01,  5.6533000e-01
      57,  1.4702980e+00,  0.0000000e+00,  0.0000000e+00,  1.1682000e-02,  3.2757600e-01,  5.6487400e-01
      58,  1.4668850e+00,  0.0000000e+00,  0.0000000e+00,  1.1646000e-02,  3.2471200e-01,  5.6555800e-01
      59,  1.4664930e+00,  0.0000000e+00,  0.0000000e+00,  1.1625000e-02,  3.2563600e-01,  5.6485200e-01
      60,  1.4670790e+00,  0.0000000e+00,  0.0000000e+00,  1.1685000e-02,  3.2419100e-01,  5.6617500e-01
      61,  1.4693710e+00,  0.0000000e+00,  0.0000000e+00,  1.1659000e-02,  3.2550600e-01,  5.6470500e-01
      62,  1.4676910e+00,  0.0000000e+00,  0.0000000e+00,  1.1653000e-02,  3.2253200e-01,  5.6661800e-01
      63,  1.4648320e+00,  0.0000000e+00,  0.0000000e+00,  1.1697000e-02,  3.2127600e-01,  5.6576800e-01
      64,  1.4645980e+00,  0.0000000e+00,  0.0000000e+00,  1.1655000e-02,  3.2099300e-01,  5.6759700e-01
      65,  1.4744680e+00,  0.0000000e+00,  0.0000000e+00,  1.1658000e-02,  3.1808600e-01,  5.7479600e-01
      66,  1.4527860e+00,  0.0000000e+00,  0.0000000e+00,  1.1861000e-02,  3.0915500e-01,  5.6526200e-01
      67,  1.4544180e+00,  0.0000000e+00,  0.0000000e+00,  1.1642000e-02,  3.1019600e-01,  5.6509500e-01
      68,  1.4545150e+00,  0.0000000e+00,  0.0000000e+00,  1.2000000e-02,  3.1167300e-01,  5.6618600e-01
      69,  1.4502030e+00,  0.0000000e+00,  0.0000000e+00,  1.1634000e-02,  3.0808300e-01,  5.6642300e-01
      70,  1.4725070e+00,  0.0000000e+00,  0.0000000e+00,  1.1643000e-02,  3.1586800e-01,  5.8047600e-01
      71,  1.4488540e+00,  0.0000000e+00,  0.0000000e+00,  1.1680000e-02,  3.0307200e-01,  5.6658100e-01
      72,  1.4465400e+00,  0.0000000e+00,  0.0000000e+00,  1.1640000e-02,  3.0276500e-01,  5.6896400e-01
      73,  1.4461040e+00,  0.0000000e+00,  0.0000000e+00,  1.1663000e-02,  3.0479800e-01,  5.6520400e-01
      74,  1.4406750e+00,  0.0000000e+00,  0.0000000e+00,  1.1675000e-02,  2.9673300e-01,  5.6587700e-01
      75,  1.4435020e+00,  0.0000000e+00,  0.0000000e+00,  1.1664000e-02,  2.9773700e-01,  5.6858100e-01
      76,  1.4420170e+00,  0.0000000e+00,  0.0000000e+00,  1.1667000e-02,  2.9611700e-01,  5.6614000e-01
      77,  1.4271210e+00,  0.0000000e+00,  0.0000000e+00,  1.1634000e-02,  2.8466600e-01,  5.6612800e-01
      78,  1.4250180e+00,  0.0000000e+00,  0.0000000e+00,  1.1679000e-02,  2.8173900e-01,  5.6618600e-01
      79,  1.4215780e+00,  0.0000000e+00,  0.0000000e+00,  1.1647000e-02,  2.8159200e-01,  5.6498700e-01
      80,  1.4175390e+00,  0.0000000e+00,  0.0000000e+00,  1.1655000e-02,  2.7563200e-01,  5.6637900e-01
      81,  1.4210580e+00,  0.0000000e+00,  0.0000000e+00,  1.1646000e-02,  2.7580500e-01,  5.6766500e-01
      82,  1.4289090e+00,  0.0000000e+00,  0.0000000e+00,  1.1684000e-02,  2.7572000e-01,  5.6510800e-01
      83,  1.4161750e+00,  0.0000000e+00,  0.0000000e+00,  1.1665000e-02,  2.7414500e-01,  5.6484400e-01
      84,  1.4105180e+00,  0.0000000e+00,  0.0000000e+00,  1.1640000e-02,  2.6860700e-01,  5.6507000e-01
      85,  1.4124060e+00,  0.0000000e+00,  0.0000000e+00,  1.1649000e-02,  2.6692100e-01,  5.6733400e-01
      86,  1.4154300e+00,  0.0000000e+00,  0.0000000e+00,  1.1633000e-02,  2.6293300e-01,  5.7483300e-01
      87,  1.3997220e+00,  0.0000000e+00,  0.0000000e+00,  1.1644000e-02,  2.5911600e-01,  5.6507000e-01
      88,  1.4022240e+00,  0.0000000e+00,  0.0000000e+00,  1.1658000e-02,  2.5905800e-01,  5.6684500e-01
      89,  1.3947010e+00,  0.0000000e+00,  0.0000000e+00,  1.1712000e-02,  2.5185700e-01,  5.6671300e-01
      90,  1.3988700e+00,  0.0000000e+00,  0.0000000e+00,  1.1677000e-02,  2.5565200e-01,  5.6618900e-01
      91,  1.3931330e+00,  0.0000000e+00,  0.0000000e+00,  1.1667000e-02,  2.5074300e-01,  5.6484000e-01
      92,  1.3940640e+00,  0.0000000e+00,  0.0000000e+00,  1.1618000e-02,  2.5031400e-01,  5.6637300e-01
