t, velocity, pressure, k, omega, wall_distance
 7.5000000e-04,  1.4032254e+01,  1.3333333e+03,  1.2373334e+03,  1.3333331e+03,  1.3333333e+03
 1.5000000e-03,  7.0246719e-01,  1.9288525e+05,  5.0580804e+03,  1.0364148e+03,  0.0000000e+00
 2.2500000e-03,  3.0007230e-01,  3.4049492e+03,  2.8452454e+03,  8.8349125e+02,  0.0000000e+00
 3.0000000e-03,  2.2995904e-01,  1.7460956e+02,  1.7085966e+03,  7.2207923e+02,  0.0000000e+00
 3.7500000e-03,  2.0172825e-01,  1.2922444e+02,  1.1015794e+03,  5.7847565e+02,  0.0000000e+00
 4.5000000e-03,  1.9337695e-01,  1.0913575e+02,  7.5562880e+02,  4.6441944e+02,  0.0000000e+00
 5.2500000e-03,  1.8730627e-01,  9.8052898e+01,  5.4145417e+02,  3.7851490e+02,  0.0000000e+00
 6.0000000e-03,  1.8205898e-01,  8.7249250e+01,  3.9813738e+02,  3.1457563e+02,  0.0000000e+00
 6.7500000e-03,  1.7769938e-01,  7.9934983e+01,  2.9752605e+02,  2.6653688e+02,  0.0000000e+00
 7.5000000e-03,  1.7397944e-01,  7.3261061e+01,  2.2597767e+02,  2.2979032e+02,  0.0000000e+00
 8.2500000e-03,  1.7114425e-01,  6.7748684e+01,  1.7529912e+02,  2.0110807e+02,  0.0000000e+00
 9.0000000e-03,  1.6876763e-01,  6.2929820e+01,  1.3936959e+02,  1.7827602e+02,  0.0000000e+00
 9.7500000e-03,  1.6648388e-01,  5.8940090e+01,  1.1351939e+02,  1.5976979e+02,  0.0000000e+00
 1.0500000e-02,  1.6481917e-01,  5.5395601e+01,  9.4443944e+01,  1.4452507e+02,  0.0000000e+00
 1.1250000e-02,  1.6269897e-01,  5.2340141e+01,  7.9979298e+01,  1.3178546e+02,  0.0000000e+00
 1.2000000e-02,  1.6089030e-01,  4.9651215e+01,  6.8746410e+01,  1.2100322e+02,  0.0000000e+00
 1.2750000e-02,  1.5940619e-01,  4.5608954e+01,  5.9878450e+01,  1.1177443e+02,  0.0000000e+00
 1.3500000e-02,  1.5805622e-01,  4.6428559e+01,  5.2801179e+01,  1.0379604e+02,  0.0000000e+00
 1.4250000e-02,  1.5670618e-01,  4.2354495e+01,  4.7115652e+01,  9.6837060e+01,  0.0000000e+00
 1.5000000e-02,  1.5540677e-01,  4.0581977e+01,  4.2531447e+01,  9.0718798e+01,  0.0000000e+00
 1.5750000e-02,  1.5414458e-01,  3.9056594e+01,  3.8816295e+01,  8.5301152e+01,  0.0000000e+00
 1.6500000e-02,  1.5288583e-01,  3.5718191e+01,  3.5780849e+01,  8.0472926e+01,  0.0000000e+00
 1.7250000e-02,  1.5161157e-01,  3.5406980e+01,  3.3269264e+01,  7.6144852e+01,  0.0000000e+00
 1.8000000e-02,  1.5034636e-01,  3.2917255e+01,  3.1154654e+01,  7.2244517e+01,  0.0000000e+00
 1.8750000e-02,  1.4905349e-01,  3.1428851e+01,  2.9336660e+01,  6.8712637e+01,  0.0000000e+00
 1.9500000e-02,  1.4773815e-01,  2.7872438e+01,  2.7739915e+01,  6.5500204e+01,  0.0000000e+00
 2.0250000e-02,  1.4643841e-01,  3.1664373e+01,  2.6306835e+01,  6.2566449e+01,  0.0000000e+00
 2.1000000e-02,  1.4509970e-01,  2.2465438e+01,  2.4977175e+01,  5.9877116e+01,  0.0000000e+00
 2.1750000e-02,  1.4372484e-01,  2.6513760e+01,  2.3744144e+01,  5.7403308e+01,  0.0000000e+00
 2.2500000e-02,  1.4243684e-01,  2.1651187e+01,  2.2608416e+01,  5.5120459e+01,  0.0000000e+00
 2.3250000e-02,  1.4120104e-01,  2.0554701e+01,  2.1564939e+01,  5.3007551e+01,  0.0000000e+00
